Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,563.45,99,99,99,25,16871360,3.5
2,ASTS,Technology,Communication Equipment,NASDAQ,483.65,99,99,99,9,2532088320,26.110000610351562
3,MDIA,Communication Services,Broadcasting,NASDAQ,454.96,99,99,99,9,132641344,3.6700000762939453
4,LENZ,Healthcare,Biotechnology,NASDAQ,437.57,99,99,99,0,467792032,23.799999237060547
5,LUMN,Communication Services,Telecom Services,NYSE,370.37,99,99,19,21,1086092800,5.840000152587891
6,LBPH,Healthcare,Biotechnology,NASDAQ,344.66,99,99,98,99,738721920,34.86000061035156
7,SMMT,Healthcare,Biotechnology,NASDAQ,343.58,99,99,99,97,5601800704,12.270000457763672
8,CRBP,Healthcare,Biotechnology,NASDAQ,341.94,99,99,99,99,468184352,50.040000915527344
9,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,340.37,99,98,85,29,17891930,5.989999771118164
10,NEON,Technology,Electronic Components,NASDAQ,336.42,99,90,89,6,30719000,6.699999809265137
11,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,332.11,99,99,99,98,497564096,13.25
12,PSNL,Healthcare,Diagnostics & Research,NASDAQ,330.85,99,99,22,31,65442888,5.369999885559082
13,SEZL,Financial Services,Credit Services,NASDAQ,323.63,99,99,98,99,469543264,126.66999816894531
14,CADL,Healthcare,Biotechnology,NASDAQ,321.29,99,99,99,61,199960320,6.139999866485596
15,SLNO,Healthcare,Biotechnology,NASDAQ,318.82,99,99,99,99,1734692864,48.540000915527344
16,INSG,Technology,Communication Equipment,NASDAQ,298.9,99,99,98,14,103737712,14.390000343322754
17,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,292.31,99,82,8,4,10736424,5.619999885559082
18,SHCRW,Healthcare,Health Information Services,NASDAQ,287.32,99,99,6,8,n/a,0.09799999743700027
19,RNA,Healthcare,Biotechnology,NASDAQ,287.03,99,99,99,98,4130786048,40.459999084472656
20,RCAT,Technology,Computer Hardware,NASDAQ,285.59,99,98,76,38,75767136,2.630000114440918
21,NISN,Financial Services,Credit Services,NASDAQ,283.43,99,99,49,80,13619664,10.699999809265137
22,SCPX,Healthcare,Biotechnology,NYSE MKT,283.37,99,99,3,22,10265812,0.8500000238418579
23,AGBA,Financial Services,Asset Management,NASDAQ,275.14,99,99,99,7,229691088,2.259999990463257
24,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,274.5,99,99,98,98,51737596,9.029999732971191
25,DOGZ,Consumer Cyclical,Leisure,NASDAQ,274.16,99,99,98,93,201654288,22.3799991607666
26,RGS,Consumer Cyclical,Personal Services,NASDAQ,273.5,99,99,3,11,10647367,19.399999618530273
27,MBRX,Healthcare,Biotechnology,NASDAQ,271.71,99,99,99,23,9199929,2.4000000953674316
28,SWVL,Technology,Software—Application,NASDAQ,261.99,99,99,99,99,79203824,5.670000076293945
29,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,256.02,99,99,93,19,624490496,37.97999954223633
30,ADMA,Healthcare,Biotechnology,NASDAQ,255.9,99,99,98,94,2461811456,16.260000228881836
31,RAIL,Industrials,Railroads,NASDAQ,252.67,99,56,92,75,67358160,8.239999771118164
32,GTHX,Healthcare,Biotechnology,NASDAQ,252.25,99,99,59,85,133840384,7.130000114440918
33,CATX,Healthcare,Medical Devices,NYSE MKT,244.51,99,98,99,99,804254976,15.260000228881836
34,QTTB,Healthcare,Biotechnology,NASDAQ,239.96,99,97,87,78,217226800,42.81999969482422
35,DAVE,Technology,Software—Application,NASDAQ,233.83,99,99,99,99,470895648,34.38999938964844
36,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,231.99,99,99,99,99,41906316,3.5799999237060547
37,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,229.07,99,99,6,11,7003263,0.5170000195503235
38,AVAH,Healthcare,Medical Care Facilities,NASDAQ,227.98,99,98,90,91,507880608,5.420000076293945
39,AEYE,Technology,Software - Application,NASDAQ,227.14,99,99,99,95,212526320,19.6200008392334
40,ADD,Communication Services,Entertainment,NASDAQ,225.29,99,94,7,3,4945666,0.6899999976158142
41,CLOV,Healthcare,Healthcare Plans,NASDAQ,221.2,99,98,68,19,546080704,2.509999990463257
42,CDNA,Healthcare,Diagnostics & Research,NASDAQ,216.35,99,99,94,61,734330176,27.100000381469727
43,ILAG,Industrials,Building Products & Equipment,NASDAQ,215.55,99,82,8,8,6609960,1.2400000095367432
44,CMMB,Healthcare,Biotechnology,NASDAQ,214.88,99,89,83,40,13479612,1.8949999809265137
45,COMM,Technology,Communication Equipment,NASDAQ,212.02,99,97,12,4,256855168,4.070000171661377
46,RZLT,Healthcare,Biotechnology,NASDAQ,212.01,99,99,99,89,199377680,4.349999904632568
47,BRFH,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,211.81,99,98,93,15,37830144,3.430000066757202
48,ZETA,Technology,Software—Application,NYSE,211.16,99,98,97,74,3581592576,25.059999465942383
49,ALTS,n/a,n/a,NASDAQ,207.22,99,97,99,99,n/a,2.0999999046325684
50,CRIS,Healthcare,Biotechnology,NASDAQ,206.24,99,97,99,99,45973824,4.980000019073486
51,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,206.22,99,82,85,95,229773744,15.59000015258789
52,XTLB,Healthcare,Biotechnology,NASDAQ,206.16,99,98,97,23,11878951,2.700000047683716
53,CURI,Communication Services,Broadcasting,NASDAQ,206.15,99,93,97,14,60566304,1.6399999856948853
54,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,205.73,99,87,86,19,38072932,0.699999988079071
55,TISI,Industrials,Specialty Business Services,NYSE,203.22,99,87,86,21,34924232,17.190000534057617
56,JANX,Healthcare,Biotechnology,NASDAQ,202.92,99,99,99,99,2094768384,41.2599983215332
57,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,202.87,99,97,11,37,71849184,4.590000152587891
58,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,202.11,99,92,10,5,164025680,2.1700000762939453
59,REAX,Real Estate,Real Estate Services,NASDAQ,199.95,99,99,98,97,728804992,5.46999979019165
60,KEQU,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,197.54,98,98,97,93,104394888,52.470001220703125
61,TROO,Technology,Software—Application,NASDAQ,196.86,98,98,14,8,155444944,4.389999866485596
62,DCTH,Healthcare,Medical Devices,NASDAQ,196.81,98,97,95,37,212283504,9.670000076293945
63,CRVS,Healthcare,Biotechnology,NASDAQ,195.21,98,97,62,89,116970928,4.03000020980835
64,DOYU,Communication Services,Internet Content & Information,NASDAQ,193.02,98,98,74,14,324264896,8.789999961853027
65,CAVA,Consumer Cyclical,Restaurants,NYSE,191.65,98,96,96,89,10877130752,116.12999725341797
66,FTAI,Industrials,Rental & Leasing Services,NASDAQ,191.56,98,98,97,95,9574752256,112.55000305175781
67,AIHS,Financial Services,Credit Services,NASDAQ,190.69,98,97,90,95,8752843,1.309999942779541
68,VRAX,Healthcare,Biotechnology,NASDAQ,189.9,98,49,75,2,4558467,3.509999990463257
69,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,188.91,98,99,99,99,12955388928,133.41000366210938
70,AKA,Consumer Cyclical,Internet Retail,NYSE,187.71,98,94,98,91,150772864,21.559999465942383
71,BYRN,Industrials,Aerospace & Defense,NASDAQ,187.25,98,96,97,98,240324800,14.350000381469727
72,INSM,Healthcare,Biotechnology,NASDAQ,186.94,98,99,99,64,10697345024,71.04000091552734
73,CMPO,Industrials,Metal Fabrication,NASDAQ,186.67,98,96,68,36,518202016,11.789999961853027
74,COE,Consumer Defensive,Education & Training Services,NYSE MKT,185.99,98,97,53,26,52868228,14.984999656677246
75,CLPT,Healthcare,Medical Devices,NASDAQ,185.19,98,93,28,68,143956576,11.890000343322754
76,ELYM,Healthcare,Biotechnology,NASDAQ,184.17,98,97,99,38,218679408,7.389999866485596
77,STOK,Healthcare,Biotechnology,NASDAQ,183.5,98,98,99,41,776065344,14.699999809265137
78,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,183.25,98,95,96,64,443103200,8.529999732971191
79,BNTC,Healthcare,Biotechnology,NASDAQ,183.24,98,98,97,90,67914232,9.020000457763672
80,GGAL,Financial Services,Banks - Regional,NASDAQ,182.85,98,97,96,94,6550478336,41.08000183105469
81,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,182.7,98,98,97,96,640242240,17.190000534057617
82,BGM,n/a,n/a,NASDAQ,181.4,98,98,63,53,n/a,6.420000076293945
83,ARQT,Healthcare,Biotechnology,NASDAQ,180.59,98,97,91,98,943476544,10.359999656677246
