Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,UMAC,Financial Services,Shell Companies,NYSE MKT,582.22,99,94,51,26,16520012,13.09000015258789
2,NXL,Healthcare,Medical Devices,NASDAQ,580.96,99,99,75,99,7734022,3.7200000286102295
3,JFBR,Consumer Cyclical,Internet Retail,NASDAQ,575.15,99,9,8,2,3413881,2.5799999237060547
4,QBTS,Technology,Computer Hardware,NYSE,552.85,99,90,20,18,202301680,7.230000019073486
5,DOGZ,Consumer Cyclical,Leisure,NASDAQ,509.46,99,99,99,99,201654288,51.06999969482422
6,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,498.4,99,93,99,84,38072932,2.0899999141693115
7,WKEY,Technology,Semiconductors,NASDAQ,495.02,99,29,61,63,20524460,12.0
8,LENZ,Healthcare,Biotechnology,NASDAQ,490.64,99,99,99,99,467792032,30.850000381469727
9,KULR,Technology,Electronic Components,NYSE MKT,483.11,99,94,32,76,65343560,1.4299999475479126
10,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,462.68,99,99,99,99,497564096,29.899999618530273
11,EXOD,n/a,n/a,NYSE MKT,442.67,99,99,98,93,n/a,36.68000030517578
12,MFH,Financial Services,Capital Markets,NASDAQ,433.2,99,98,20,40,91229848,7.320000171661377
13,RKLB,Industrials,Aerospace & Defense,NASDAQ,425.38,99,99,95,57,2419549696,25.899999618530273
14,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,422.08,99,15,19,23,15222720,2.859999895095825
15,SOUN,Technology,Software—Application,NASDAQ,419.48,99,94,95,90,1570140800,19.690000534057617
16,IONQ,Technology,Computer Hardware,NYSE,412.49,99,99,27,10,1524590592,41.810001373291016
17,DAVE,Technology,Software—Application,NASDAQ,412.05,99,99,99,99,470895648,102.04000091552734
18,APP,Technology,Software - Application,NASDAQ,407.84,99,99,98,97,26597492736,343.9599914550781
19,AZ,Industrials,Aerospace & Defense,NASDAQ,405.01,99,99,84,3,17750308,7.210000038146973
20,HTCO,n/a,n/a,NASDAQ,394.77,99,98,10,97,n/a,2.5
21,SGMO,Healthcare,Biotechnology,NASDAQ,387.65,99,99,97,11,87403216,2.6500000953674316
22,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,386.4,99,99,92,9,n/a,1.0199999809265137
23,QMCO,Technology,Computer Hardware,NASDAQ,377.54,99,6,3,22,37141836,23.270000457763672
24,SRRK,Healthcare,Biotechnology,NASDAQ,355.33,99,98,34,16,768031936,42.869998931884766
25,CANG,Consumer Cyclical,Auto & Truck Dealerships,NYSE,349.36,99,99,78,91,172202240,5.489999771118164
26,HUIZ,Financial Services,Insurance Brokers,NASDAQ,345.13,99,24,19,88,50026780,2.9800000190734863
27,MSTR,Technology,Software—Application,NASDAQ,328.92,99,99,98,99,26063867904,408.5
28,WLGS,Industrials,Engineering & Construction,NASDAQ,325.47,99,99,98,13,8300080,2.8299999237060547
29,CHSN,Consumer Cyclical,Restaurants,NASDAQ,325.21,99,99,11,70,36054652,7.119999885559082
30,CNVS,Communication Services,Entertainment,NASDAQ,324.61,99,99,19,10,11539383,3.5
31,INOD,Technology,Information Technology Services,NASDAQ,322.6,99,99,94,97,397365056,37.7599983215332
32,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,319.63,99,98,99,99,51737596,16.6200008392334
33,AENT,Communication Services,Entertainment,NASDAQ,317.34,99,99,97,98,399373184,5.829999923706055
34,BSGM,Healthcare,Medical Devices,NASDAQ,316.6,99,99,7,1,23866350,1.600000023841858
35,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,302.52,99,99,98,99,41906316,8.3100004196167
36,ASTS,Technology,Communication Equipment,NASDAQ,291.37,99,99,99,99,2532088320,24.299999237060547
37,LAES,Technology,Semiconductors,NASDAQ,290.46,99,4,3,5,23194648,2.450000047683716
38,KC,Technology,Software—Application,NASDAQ,289.03,99,95,13,15,684088768,8.9399995803833
39,NEON,Technology,Electronic Components,NASDAQ,287.22,99,99,99,79,30719000,7.900000095367432
40,MESO,Healthcare,Biotechnology,NASDAQ,285.28,99,99,98,98,854788736,12.100000381469727
41,SMR,Industrials,Specialty Industrial Machinery,NYSE,285.06,99,99,97,99,768516800,21.719999313354492
