Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ATGL,Technology,Software - Infrastructure,NASDAQ,592.18,99,98,5,21,45329624,15.619999885559082
2,DOGZ,Consumer Cyclical,Leisure,NASDAQ,538.28,99,99,99,99,201654288,52.880001068115234
3,UMAC,Financial Services,Shell Companies,NYSE MKT,467.66,99,96,43,28,16520012,11.100000381469727
4,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,457.72,99,93,98,83,38072932,1.9199999570846558
5,HTCO,n/a,n/a,NASDAQ,454.47,99,98,13,94,n/a,2.4800000190734863
6,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,411.02,99,16,17,20,15222720,2.950000047683716
7,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,407.91,99,99,99,99,497564096,28.6299991607666
8,RKLB,Industrials,Aerospace & Defense,NASDAQ,404.85,99,99,94,55,2419549696,24.420000076293945
9,KULR,Technology,Electronic Components,NYSE MKT,404.78,99,95,21,45,65343560,1.1799999475479126
10,MFH,Financial Services,Capital Markets,NASDAQ,397.3,99,98,17,30,91229848,6.5
11,AZ,Industrials,Aerospace & Defense,NASDAQ,392.79,99,99,73,4,17750308,7.039999961853027
12,APP,Technology,Software - Application,NASDAQ,392.05,99,99,98,98,26597492736,324.4700012207031
13,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,388.57,99,99,96,10,n/a,1.0570000410079956
14,DAVE,Technology,Software—Application,NASDAQ,379.07,99,99,99,99,470895648,91.69999694824219
15,QBTS,Technology,Computer Hardware,NYSE,369.78,99,95,20,22,202301680,5.0
16,SOUN,Technology,Software—Application,NASDAQ,357.09,99,95,94,89,1570140800,16.90999984741211
17,SRRK,Healthcare,Biotechnology,NASDAQ,355.19,99,98,21,18,768031936,41.97999954223633
18,CHSN,Consumer Cyclical,Restaurants,NASDAQ,349.73,99,99,11,60,36054652,7.409999847412109
19,CNVS,Communication Services,Entertainment,NASDAQ,334.37,99,99,17,11,11539383,3.569999933242798
20,MSTR,Technology,Software—Application,NASDAQ,324.94,99,99,97,99,26063867904,408.6700134277344
21,WKEY,Technology,Semiconductors,NASDAQ,324.68,99,35,47,37,20524460,7.840000152587891
22,IONQ,Technology,Computer Hardware,NYSE,324.43,99,99,21,10,1524590592,33.83000183105469
23,HUIZ,Financial Services,Insurance Brokers,NASDAQ,314.7,99,17,16,82,50026780,2.700000047683716
24,WLGS,Industrials,Engineering & Construction,NASDAQ,311.39,99,99,98,19,8300080,2.759999990463257
25,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,307.9,99,99,98,99,41906316,8.239999771118164
26,LX,Financial Services,Credit Services,NASDAQ,306.62,99,96,31,29,277857952,5.909999847412109
27,AENT,Communication Services,Entertainment,NASDAQ,306.35,99,99,89,98,399373184,5.885000228881836
28,DBVT,Healthcare,Biotechnology,NASDAQ,304.64,99,5,6,5,98147712,3.569999933242798
29,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,303.28,99,98,99,99,51737596,15.960000038146973
30,SGMO,Healthcare,Biotechnology,NASDAQ,297.87,99,99,95,15,87403216,2.049999952316284
31,KC,Technology,Software—Application,NASDAQ,289.68,99,91,12,13,684088768,9.15999984741211
32,BTCT,Technology,Computer Hardware,NASDAQ,284.71,99,99,8,13,5822061,6.380000114440918
33,BSGM,Healthcare,Medical Devices,NASDAQ,284.3,99,98,6,2,23866350,1.4700000286102295
