Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,SEZL,Financial Services,Credit Services,NASDAQ,591.13,99,99,99,99,469543264,315.17999267578125
2,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,588.44,99,99,99,99,497564096,38.38999938964844
3,XCUR,Healthcare,Biotechnology,NASDAQ,583.25,99,95,96,4,2953502,18.530000686645508
4,NXL,Healthcare,Medical Devices,NASDAQ,518.49,99,99,80,99,7734022,3.4800000190734863
5,UMAC,Financial Services,Shell Companies,NYSE MKT,515.62,99,89,48,35,16520012,11.229999542236328
6,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,503.07,99,94,99,83,38072932,2.130000114440918
7,LENZ,Healthcare,Biotechnology,NASDAQ,501.28,99,99,99,99,467792032,32.40999984741211
8,JFBR,Consumer Cyclical,Internet Retail,NASDAQ,494.01,99,11,16,3,3413881,2.2200000286102295
9,DOGZ,Consumer Cyclical,Leisure,NASDAQ,479.33,99,99,99,99,201654288,47.2599983215332
10,KULR,Technology,Electronic Components,NYSE MKT,466.3,99,88,17,86,65343560,1.440000057220459
11,IONQ,Technology,Computer Hardware,NYSE,445.77,99,99,26,9,1524590592,43.84000015258789
12,RKLB,Industrials,Aerospace & Defense,NASDAQ,443.6,99,99,96,59,2419549696,26.3700008392334
13,MFH,Financial Services,Capital Markets,NASDAQ,442.25,99,98,16,59,91229848,7.380000114440918
14,CANG,Consumer Cyclical,Auto & Truck Dealerships,NYSE,437.22,99,98,75,90,172202240,6.909999847412109
15,SOUN,Technology,Software—Application,NASDAQ,419.77,99,93,95,87,1570140800,19.389999389648438
16,SGMO,Healthcare,Biotechnology,NASDAQ,410.72,99,99,97,9,87403216,2.819999933242798
17,AZ,Industrials,Aerospace & Defense,NASDAQ,410.67,99,99,89,3,17750308,7.300000190734863
18,DAVE,Technology,Software—Application,NASDAQ,408.45,99,99,99,99,470895648,103.95999908447266
19,EXOD,n/a,n/a,NYSE MKT,402.95,99,99,98,94,n/a,38.95000076293945
20,APP,Technology,Software - Application,NASDAQ,401.82,99,99,98,98,26597492736,337.8900146484375
21,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,398.38,99,18,19,25,15222720,2.640000104904175
22,WKEY,Technology,Semiconductors,NASDAQ,389.52,99,35,46,41,20524460,9.449999809265137
23,QMCO,Technology,Computer Hardware,NASDAQ,389.08,99,6,3,20,37141836,23.719999313354492
24,LAES,Technology,Semiconductors,NASDAQ,378.74,99,8,4,5,23194648,2.9800000190734863
25,SRRK,Healthcare,Biotechnology,NASDAQ,361.72,99,98,28,16,768031936,43.650001525878906
26,HTCO,n/a,n/a,NASDAQ,347.52,99,98,9,90,n/a,2.200000047683716
27,AENT,Communication Services,Entertainment,NASDAQ,344.41,99,99,96,98,399373184,6.25
28,ARQQ,Technology,Software - Infrastructure,NASDAQ,338.8,99,16,6,6,56432848,33.0
29,NUKK,Technology,Software—Application,NASDAQ,329.0,99,3,1,3,223426592,11.880000114440918
30,CNVS,Communication Services,Entertainment,NASDAQ,324.54,99,99,18,10,11539383,3.450000047683716
31,INOD,Technology,Information Technology Services,NASDAQ,319.88,99,99,96,97,397365056,37.56999969482422
32,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,311.54,99,99,99,99,51737596,15.960000038146973
33,SMR,Industrials,Specialty Industrial Machinery,NYSE,309.62,99,99,98,99,768516800,21.709999084472656
34,HUIZ,Financial Services,Insurance Brokers,NASDAQ,304.03,99,22,19,87,50026780,2.740000009536743
35,MSTR,Technology,Software—Application,NASDAQ,302.59,99,99,98,99,26063867904,386.4200134277344
36,LX,Financial Services,Credit Services,NASDAQ,300.48,99,95,27,25,277857952,6.090000152587891
37,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,299.3,99,99,98,99,41906316,8.119999885559082
38,ASTS,Technology,Communication Equipment,NASDAQ,298.45,99,99,99,99,2532088320,24.780000686645508
39,CHSN,Consumer Cyclical,Restaurants,NASDAQ,295.54,99,99,9,57,36054652,7.110000133514404
40,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,294.89,99,99,95,9,n/a,0.7599999904632568
41,MESO,Healthcare,Biotechnology,NASDAQ,293.99,99,99,98,97,854788736,12.510000228881836
42,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,291.28,99,99,99,99,16871360,2.190000057220459
43,SMMT,Healthcare,Biotechnology,NASDAQ,287.61,99,99,99,99,5601800704,18.56999969482422
44,ICLK,Communication Services,Advertising Agencies,NASDAQ,285.49,99,89,93,5,12575997,7.980000019073486
45,GMM,Technology,Information Technology Services,NASDAQ,280.78,99,1,23,27,25562496,3.450000047683716
46,DBVT,Healthcare,Biotechnology,NASDAQ,279.5,99,4,6,4,98147712,3.2100000381469727
47,PULM,Healthcare,Biotechnology,NASDAQ,277.35,99,99,61,46,7012377,6.170000076293945
48,REAL,Consumer Cyclical,Luxury Goods,NASDAQ,274.56,99,94,72,88,340160480,9.510000228881836
49,MRT,Technology,Software—Application,NYSE MKT,274.16,99,95,98,98,100945328,3.200000047683716
50,WLFC,Industrials,Rental & Leasing Services,NASDAQ,272.67,99,99,99,94,410781888,213.50999450683594
51,NIXX,n/a,n/a,NASDAQ,272.54,99,86,91,84,n/a,5.739999771118164
52,KC,Technology,Software—Application,NASDAQ,270.78,99,90,13,13,684088768,8.489999771118164
53,CMRX,Healthcare,Biotechnology,NASDAQ,269.32,99,23,26,26,78157272,2.809999942779541
54,CRVS,Healthcare,Biotechnology,NASDAQ,268.57,99,99,99,63,116970928,7.389999866485596
55,WLGS,Industrials,Engineering & Construction,NASDAQ,264.16,99,99,98,18,8300080,2.3299999237060547
