Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,498.16,99,99,99,93,497564096,19.43000030517578
2,WGS,Healthcare,Health Information Services,NASDAQ,497.84,99,99,99,17,671555136,32.52000045776367
3,CRBP,Healthcare,Biotechnology,NASDAQ,487.69,99,99,99,99,468184352,58.290000915527344
4,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,485.29,99,99,99,11,16871360,3.130000114440918
5,LENZ,Healthcare,Biotechnology,NASDAQ,472.38,99,99,99,75,467792032,21.979999542236328
6,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,434.4,99,99,99,80,653293888,75.66000366210938
7,TLSIW,Healthcare,Medical Devices,NASDAQ,434.38,99,99,99,99,n/a,1.4500000476837158
8,ALAR,Technology,Software - Infrastructure,NASDAQ,431.99,99,99,99,99,212824336,27.559999465942383
9,ASTS,Technology,Communication Equipment,NASDAQ,395.41,99,99,11,15,2532088320,12.800000190734863
10,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,389.19,99,98,17,5,317554912,11.460000038146973
11,MBRX,Healthcare,Biotechnology,NASDAQ,379.55,99,99,99,15,9199929,4.039999961853027
12,SLNHP,Financial Services,Capital Markets,NASDAQ,373.78,99,96,57,98,n/a,7.789999961853027
13,JMIA,Consumer Cyclical,Internet Retail,NYSE,360.61,99,98,93,45,802544768,14.5600004196167
14,RNA,Healthcare,Biotechnology,NASDAQ,358.63,99,99,99,94,4130786048,46.29999923706055
15,MIRA,Healthcare,Drug Manufacturers—General,NASDAQ,337.78,99,10,17,16,10494439,5.010000228881836
16,DAVE,Technology,Software—Application,NASDAQ,325.21,99,99,99,99,470895648,38.43000030517578
17,EUDA,Healthcare,Health Information Services,NASDAQ,324.85,99,97,97,96,93790424,3.990000009536743
18,SMMT,Healthcare,Biotechnology,NASDAQ,315.55,99,99,94,97,5601800704,9.960000038146973
19,LBPH,Healthcare,Biotechnology,NASDAQ,311.02,99,99,98,99,738721920,36.779998779296875
20,CADL,Healthcare,Biotechnology,NASDAQ,307.58,99,99,99,49,199960320,6.03000020980835
21,SWVL,Technology,Software—Application,NASDAQ,300.29,99,99,99,99,79203824,7.329999923706055
22,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,297.87,99,99,98,28,41906316,4.449999809265137
23,JANX,Healthcare,Biotechnology,NASDAQ,291.7,99,99,99,32,2094768384,47.720001220703125
24,RGS,Consumer Cyclical,Personal Services,NASDAQ,286.6,99,7,2,17,10647367,28.309999465942383
25,KOSS,Technology,Consumer Electronics,NASDAQ,284.58,99,89,16,18,35908624,9.300000190734863
26,IPW,Consumer Cyclical,Internet Retail,NASDAQ,282.25,99,99,21,17,59636400,1.7400000095367432
27,AEYE,Technology,Software - Application,NASDAQ,277.18,99,99,99,52,212526320,21.329999923706055
28,MYO,Healthcare,Medical Devices,NYSE MKT,274.89,99,99,99,99,93071160,5.630000114440918
29,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,274.43,99,99,95,98,931521536,28.530000686645508
30,INSG,Technology,Communication Equipment,NASDAQ,271.91,99,99,44,5,103737712,9.899999618530273
31,MSTR,Technology,Software—Application,NASDAQ,268.16,99,99,99,90,26063867904,1800.0899658203125
32,DYN,Healthcare,Biotechnology,NASDAQ,267.76,99,99,98,98,3297019648,43.189998626708984
33,INSM,Healthcare,Biotechnology,NASDAQ,263.37,99,99,66,81,10697345024,76.27999877929688
34,WULF,Financial Services,Capital Markets,NASDAQ,255.8,99,98,94,86,1031991936,5.71999979019165
35,NVAX,Healthcare,Biotechnology,NASDAQ,255.8,99,99,16,6,2030502912,14.9399995803833
36,VSSYW,Technology,Software—Application,NASDAQ,255.59,99,99,91,11,n/a,0.09600000083446503
37,FFIE,Consumer Cyclical,Auto Manufacturers,NASDAQ,255.21,99,89,0,0,208312064,0.3959999978542328
38,ADMA,Healthcare,Biotechnology,NASDAQ,252.53,99,99,95,92,2461811456,13.75
39,AGBA,Financial Services,Asset Management,NASDAQ,251.3,99,99,99,5,229691088,2.3499999046325684
40,BRFH,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,251.08,99,98,13,19,37830144,3.9200000762939453
41,WTO,Technology,Consumer Electronics,NASDAQ,248.16,99,98,15,5,211741552,0.8330000042915344
42,RZLT,Healthcare,Biotechnology,NASDAQ,247.12,99,99,98,15,199377680,4.670000076293945
43,SLQT,Financial Services,Insurance Brokers,NYSE,245.21,99,97,83,42,478719968,4.199999809265137
44,NTRBW,Healthcare,Biotechnology,NASDAQ,244.89,99,98,4,4,n/a,1.2799999713897705
45,SLNO,Healthcare,Biotechnology,NASDAQ,243.06,99,99,99,99,1734692864,45.849998474121094
46,MDIA,Communication Services,Broadcasting,NASDAQ,242.33,99,99,98,9,132641344,2.869999885559082
47,SEZL,Financial Services,Credit Services,NASDAQ,241.91,99,99,98,99,469543264,85.45999908447266
48,NAMSW,Healthcare,Biotechnology,NASDAQ,241.61,99,99,99,99,n/a,9.100000381469727
49,OXBR,Financial Services,Insurance—Reinsurance,NASDAQ,235.67,99,98,25,10,14355918,3.390000104904175
50,HUMA,Healthcare,Biotechnology,NASDAQ,232.93,99,96,88,83,706763520,8.350000381469727
51,SHCRW,Healthcare,Health Information Services,NASDAQ,230.64,99,91,5,3,n/a,0.08399999886751175
52,SMR,Industrials,Specialty Industrial Machinery,NYSE,227.73,99,98,92,7,768516800,11.0600004196167
53,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,226.82,99,94,64,97,640242240,16.81999969482422
54,ELYM,Healthcare,Biotechnology,NASDAQ,226.0,99,99,85,33,218679408,8.319999694824219
55,ALTS,n/a,n/a,NASDAQ,224.31,99,99,99,23,n/a,2.0799999237060547
56,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,223.42,99,98,98,97,51737596,5.869999885559082
57,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,221.89,99,99,99,99,12955388928,128.88999938964844
58,TPC,Industrials,Engineering & Construction,NYSE,221.02,99,99,97,81,1027907392,24.6299991607666
59,REAX,Real Estate,Real Estate Services,NASDAQ,219.07,99,97,98,97,728804992,5.934999942779541
60,APEI,Consumer Defensive,Education & Training Services,NASDAQ,218.46,99,98,97,97,287177152,19.489999771118164
61,VITL,Consumer Defensive,Farm Products,NASDAQ,218.11,99,99,98,77,1736422912,39.0
62,NRIX,Healthcare,Biotechnology,NASDAQ,216.57,98,98,96,78,1126084736,22.100000381469727
63,ZJYL,Healthcare,Medical Instruments & Supplies,NASDAQ,215.58,98,98,99,99,447724416,3.4000000953674316
64,ML,Technology,Software—Application,NYSE,214.63,98,99,99,99,849222144,69.30999755859375
65,JVA,Consumer Defensive,Packaged Foods,NASDAQ,210.76,98,94,93,55,8163297,2.990000009536743
66,OCGN,Healthcare,Biotechnology,NASDAQ,209.85,98,98,98,50,355148512,1.6399999856948853
67,VKTX,Healthcare,Biotechnology,NASDAQ,208.26,98,98,99,98,6216909824,51.709999084472656
68,IREN,Financial Services,Capital Markets,NASDAQ,207.83,98,99,81,86,2044846720,11.579999923706055
69,NTRB,Healthcare,Biotechnology,NASDAQ,206.7,98,98,87,32,57277360,7.480000019073486
70,REBN,Consumer Cyclical,Restaurants,NASDAQ,205.43,98,99,3,7,17694680,5.644999980926514
71,UPC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,203.75,98,95,84,85,8896167,3.890000104904175
72,EVER,Communication Services,Internet Content & Information,NASDAQ,203.3,98,97,98,95,663600512,25.700000762939453
73,OUST,Technology,Electronic Components,NYSE,203.16,98,98,95,78,483004096,14.170000076293945
74,CLSK,Financial Services,Capital Markets,NASDAQ,201.38,98,98,99,98,4438907392,18.1299991607666
75,CDNA,Healthcare,Diagnostics & Research,NASDAQ,200.21,98,95,32,86,734330176,18.8700008392334
76,INOD,Technology,Information Technology Services,NASDAQ,199.98,98,97,14,94,397365056,17.6299991607666
77,SPIR,Industrials,Specialty Business Services,NYSE,199.48,98,90,97,93,236367072,14.649999618530273
78,SNDA,Healthcare,Medical Care Facilities,NYSE,198.96,98,98,99,39,333062208,29.459999084472656
79,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,197.83,98,99,98,79,240172032,18.729999542236328
80,HEPS,Consumer Cyclical,Internet Retail,NASDAQ,196.78,98,86,56,89,613841536,3.2699999809265137
