Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,CRIS,Healthcare,Biotechnology,NASDAQ,540.39,99,99,99,99,45973824,8.199999809265137
2,XBIOW,Healthcare,Biotechnology,NASDAQ,505.57,99,99,99,99,n/a,16.75
3,MDIA,Communication Services,Broadcasting,NASDAQ,503.89,99,95,34,4,132641344,3.2899999618530273
4,ALAR,Technology,Software - Infrastructure,NASDAQ,496.35,99,99,99,99,212824336,27.93000030517578
5,WGS,Healthcare,Health Information Services,NASDAQ,489.92,99,99,98,5,671555136,27.440000534057617
6,STAF,Industrials,Staffing & Employment Services,NASDAQ,466.38,99,9,6,3,2495966,2.190999984741211
7,AGBA,Financial Services,Asset Management,NASDAQ,466.14,99,99,10,6,229691088,2.7899999618530273
8,NXL,Healthcare,Medical Devices,NASDAQ,441.13,99,99,91,10,7734022,2.309999942779541
9,LENZ,Healthcare,Biotechnology,NASDAQ,420.53,99,99,99,39,467792032,18.1299991607666
10,CADL,Healthcare,Biotechnology,NASDAQ,403.28,99,99,80,74,199960320,6.150000095367432
11,MBRX,Healthcare,Biotechnology,NASDAQ,391.79,99,99,99,90,9199929,3.609999895095825
12,CRBP,Healthcare,Biotechnology,NASDAQ,379.37,99,99,99,51,468184352,43.5099983215332
13,SLNO,Healthcare,Biotechnology,NASDAQ,368.97,99,99,99,99,1734692864,40.08000183105469
14,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,354.35,99,97,97,97,240172032,21.0
15,DAVE,Technology,Software—Application,NASDAQ,346.34,99,99,99,87,470895648,37.599998474121094
16,SWVL,Technology,Software—Application,NASDAQ,340.76,99,99,99,80,79203824,6.46999979019165
17,SISI,Consumer Defensive,Farm Products,NASDAQ,329.42,99,21,3,4,20433694,4.099999904632568
18,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,327.74,99,99,99,13,16871360,2.119999885559082
19,NAMSW,Healthcare,Biotechnology,NASDAQ,322.56,99,99,99,70,n/a,9.350000381469727
20,RNA,Healthcare,Biotechnology,NASDAQ,300.53,99,99,98,31,4130786048,39.65999984741211
21,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,275.64,99,99,99,53,41906316,4.21999979019165
22,REBN,Consumer Cyclical,Restaurants,NASDAQ,271.73,99,86,0,19,17694680,6.230000019073486
23,INSG,Technology,Communication Equipment,NASDAQ,270.43,99,98,19,3,103737712,10.170000076293945
24,SMMT,Healthcare,Biotechnology,NASDAQ,268.09,99,96,94,75,5601800704,8.0
25,VSSYW,Technology,Software—Application,NASDAQ,262.66,99,76,95,10,n/a,0.0989999994635582
26,DOGZ,Consumer Cyclical,Leisure,NASDAQ,258.47,99,95,10,3,201654288,19.5
27,IPW,Consumer Cyclical,Internet Retail,NASDAQ,257.45,99,98,35,12,59636400,1.8600000143051147
28,JANX,Healthcare,Biotechnology,NASDAQ,250.35,99,99,99,30,2094768384,43.220001220703125
29,ELYM,Healthcare,Biotechnology,NASDAQ,249.48,99,99,33,29,218679408,7.570000171661377
30,RZLT,Healthcare,Biotechnology,NASDAQ,244.44,99,98,95,8,199377680,4.260000228881836
31,AEYE,Technology,Software - Application,NASDAQ,244.13,99,99,96,62,212526320,17.709999084472656
32,VITL,Consumer Defensive,Farm Products,NASDAQ,243.24,99,99,94,78,1736422912,44.7400016784668
33,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,242.07,99,99,99,94,653293888,44.18000030517578
34,INSM,Healthcare,Biotechnology,NASDAQ,231.88,99,39,69,92,10697345024,68.43000030517578
35,ASPI,Basic Materials,Chemicals,NASDAQ,229.52,99,99,99,97,185828448,3.1500000953674316
36,ML,Technology,Software—Application,NYSE,228.92,99,99,99,99,849222144,71.88999938964844
37,ASTS,Technology,Communication Equipment,NASDAQ,227.7,99,62,7,90,2532088320,10.329999923706055
38,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,227.49,99,99,99,99,12955388928,119.5
39,DYN,Healthcare,Biotechnology,NASDAQ,223.69,99,98,98,88,3297019648,35.630001068115234
40,CRVO,Healthcare,Biotechnology,NASDAQ,223.0,99,98,99,82,160370176,20.0
41,WTO,Technology,Consumer Electronics,NASDAQ,222.61,99,81,8,6,211741552,0.7429999709129333
42,MESO,Healthcare,Biotechnology,NASDAQ,220.16,99,99,65,11,854788736,6.78000020980835
43,NVAX,Healthcare,Biotechnology,NASDAQ,219.6,99,98,19,9,2030502912,14.020000457763672
44,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,219.51,99,97,96,97,931521536,23.209999084472656
45,CURV,Consumer Cyclical,Apparel Retail,NYSE,219.03,99,96,91,98,701232000,7.039999961853027
46,ANF,Consumer Cyclical,Apparel Retail,NYSE,217.16,99,98,98,98,9468789760,169.91000366210938
47,JAN,Industrials,Waste Management,NASDAQ,211.99,99,99,99,16,26726818,2.1700000762939453
48,MSTR,Technology,Software—Application,NASDAQ,211.49,99,99,99,98,26063867904,1372.1500244140625
49,IREN,Financial Services,Capital Markets,NASDAQ,210.77,99,93,69,99,2044846720,12.630000114440918
50,ZENV,Technology,Software—Application,NASDAQ,210.06,99,99,98,73,148682848,2.9200000762939453
51,LPCN,Healthcare,Biotechnology,NASDAQ,208.88,99,96,90,11,38398208,9.300000190734863
52,ADMA,Healthcare,Biotechnology,NASDAQ,208.68,99,98,95,82,2461811456,11.010000228881836
53,CMCM,Communication Services,Internet Content & Information,NYSE,207.82,99,99,76,57,143141488,5.360000133514404
54,ASPN,Industrials,Building Products & Equipment,NYSE,206.99,99,99,95,97,2276458240,24.709999084472656
55,LBPH,Healthcare,Biotechnology,NASDAQ,206.01,99,98,99,86,738721920,20.81999969482422
56,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,205.74,99,98,98,91,51737596,4.989999771118164
57,STOK,Healthcare,Biotechnology,NASDAQ,205.42,99,98,98,24,776065344,14.329999923706055
58,TPC,Industrials,Engineering & Construction,NYSE,203.21,99,99,96,81,1027907392,21.889999389648438
59,ELEV,Healthcare,Biotechnology,NASDAQ,201.46,99,99,99,6,150801712,2.450000047683716
60,IBRX,Healthcare,Biotechnology,NASDAQ,201.45,99,98,97,98,4308468736,7.340000152587891
61,SMCI,Technology,Computer Hardware,NASDAQ,200.86,99,99,99,96,46075764736,826.97998046875
62,HIMS,Consumer Defensive,Household & Personal Products,NYSE,200.3,98,97,96,76,5324545024,22.149999618530273
63,ZJYL,Healthcare,Medical Instruments & Supplies,NASDAQ,198.56,98,99,99,99,447724416,2.950000047683716
64,MYO,Healthcare,Medical Devices,NYSE MKT,198.41,98,99,99,99,93071160,3.140000104904175
65,BMR,Technology,Software - Application,NASDAQ,195.78,98,97,99,14,81870728,4.949999809265137
66,BRFH,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,195.03,98,62,14,45,37830144,3.109999895095825
67,SMR,Industrials,Specialty Industrial Machinery,NYSE,194.46,98,97,76,5,768516800,10.020000457763672
68,GCT,Technology,Software—Infrastructure,NASDAQ,191.61,98,99,98,98,1237901056,29.549999237060547
69,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,191.37,98,92,13,4,317554912,6.769999980926514
70,ENTX,Healthcare,Biotechnology,NASDAQ,190.84,98,99,97,14,75506976,2.059999942779541
71,VKTX,Healthcare,Biotechnology,NASDAQ,189.85,98,99,99,93,6216909824,52.119998931884766
72,VST,Utilities,Utilities—Independent Power Producers,NYSE,189.54,98,99,97,90,30652921856,88.2300033569336
73,APEI,Consumer Defensive,Education & Training Services,NASDAQ,186.89,98,98,98,96,287177152,16.260000228881836
74,FTAI,Industrials,Rental & Leasing Services,NASDAQ,186.55,98,97,96,96,9574752256,91.4800033569336
75,WULF,Financial Services,Capital Markets,NASDAQ,184.9,98,75,95,98,1031991936,4.21999979019165
76,CLSK,Financial Services,Capital Markets,NASDAQ,183.62,98,99,99,99,4438907392,16.510000228881836
77,OXBR,Financial Services,Insurance—Reinsurance,NASDAQ,183.11,98,98,20,11,14355918,2.4000000953674316
78,SGRP,Industrials,Specialty Business Services,NASDAQ,183.06,98,98,29,24,52559500,2.2300000190734863
79,NTRB,Healthcare,Biotechnology,NASDAQ,182.85,98,96,88,14,57277360,5.389999866485596
80,PEPG,Healthcare,Biotechnology,NASDAQ,182.56,98,96,96,27,530345408,17.84000015258789
81,NVDA,Technology,Semiconductors,NASDAQ,181.77,98,98,97,96,3335037648896,118.11000061035156
82,VIRC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,181.03,98,98,95,98,256325664,15.0600004196167
83,ONFO,Communication Services,Internet Content & Information,NASDAQ,179.5,98,92,9,4,6307639,1.2999999523162842
84,JSPR,Healthcare,Biotechnology,NASDAQ,178.21,98,97,99,33,349835072,22.5
85,VRT,Industrials,Electrical Equipment & Parts,NYSE,176.47,98,99,99,98,34177699840,89.13999938964844
86,CLS,Technology,Electronic Components,NYSE,176.32,98,98,98,97,7053986816,53.380001068115234
87,BLBD,Consumer Cyclical,Auto Manufacturers,NASDAQ,176.09,98,98,93,94,1851384448,52.79999923706055
88,MRT,Technology,Software—Application,NYSE MKT,175.27,98,96,15,7,100945328,1.725000023841858
89,GAU,Basic Materials,Gold,NYSE MKT,174.03,98,99,96,95,409514048,1.7400000095367432
90,RSI,Consumer Cyclical,Gambling,NYSE,173.66,98,97,94,77,2178609920,9.3100004196167
91,EUDA,Healthcare,Health Information Services,NASDAQ,173.37,98,97,89,64,93790424,2.9100000858306885
92,SYBX,Healthcare,Biotechnology,NASDAQ,173.35,98,95,98,99,18379990,1.5199999809265137
93,MREO,Healthcare,Biotechnology,NASDAQ,173.31,98,93,97,99,608159936,3.759999990463257
94,TMDX,Healthcare,Medical Devices,NASDAQ,173.07,98,97,39,81,4765039104,140.50999450683594
95,OCGN,Healthcare,Biotechnology,NASDAQ,172.69,98,99,99,38,355148512,1.2599999904632568
