Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,LENZ,Healthcare,Biotechnology,NASDAQ,599.78,99,99,85,27,467792032,18.440000534057617
2,AGBA,Financial Services,Asset Management,NASDAQ,543.94,99,99,6,3,229691088,2.930000066757202
3,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,531.22,99,99,10,20,16871360,2.1500000953674316
4,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,519.74,99,99,98,21,497564096,23.299999237060547
5,CRIS,Healthcare,Biotechnology,NASDAQ,517.73,99,99,99,99,45973824,8.220000267028809
6,WGS,Healthcare,Health Information Services,NASDAQ,504.56,99,99,98,7,671555136,27.739999771118164
7,SWVL,Technology,Software—Application,NASDAQ,494.33,99,99,99,13,79203824,8.890000343322754
8,TLSIW,Healthcare,Medical Devices,NASDAQ,491.62,99,99,99,99,n/a,1.6950000524520874
9,CADL,Healthcare,Biotechnology,NASDAQ,454.46,99,99,75,24,199960320,7.21999979019165
10,MDIA,Communication Services,Broadcasting,NASDAQ,448.69,99,98,13,5,132641344,3.1500000953674316
11,CRBP,Healthcare,Biotechnology,NASDAQ,386.34,99,99,99,28,468184352,44.209999084472656
12,SLNO,Healthcare,Biotechnology,NASDAQ,363.17,99,99,99,99,1734692864,42.4900016784668
13,DAVE,Technology,Software—Application,NASDAQ,344.44,99,99,99,86,470895648,37.83000183105469
14,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,308.54,99,99,99,95,653293888,45.61000061035156
15,REBN,Consumer Cyclical,Restaurants,NASDAQ,307.32,99,92,1,23,17694680,7.0
16,ASPI,Basic Materials,Chemicals,NASDAQ,293.96,99,99,99,98,185828448,3.7699999809265137
17,QXO,Technology,Software—Application,NASDAQ,292.81,99,99,99,99,60976300,122.08999633789062
18,RNA,Healthcare,Biotechnology,NASDAQ,292.49,99,99,98,25,4130786048,39.599998474121094
19,SISI,Consumer Defensive,Farm Products,NASDAQ,288.7,99,5,6,2,20433694,3.7899999618530273
20,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,282.84,99,99,99,57,41906316,4.159999847412109
21,IREN,Financial Services,Capital Markets,NASDAQ,279.27,99,87,85,99,2044846720,14.449999809265137
22,AEYE,Technology,Software - Application,NASDAQ,277.27,99,99,97,19,212526320,19.489999771118164
23,IPW,Consumer Cyclical,Internet Retail,NASDAQ,273.62,99,99,15,15,59636400,2.0899999141693115
24,SMMT,Healthcare,Biotechnology,NASDAQ,270.59,99,97,94,60,5601800704,7.900000095367432
25,ASTS,Technology,Communication Equipment,NASDAQ,267.89,99,70,6,88,2532088320,11.75
26,ML,Technology,Software—Application,NYSE,262.58,99,99,99,99,849222144,80.02999877929688
27,XBIOW,Healthcare,Biotechnology,NASDAQ,258.49,99,97,99,98,n/a,12.25
28,ASPN,Industrials,Building Products & Equipment,NYSE,253.56,99,99,95,97,2276458240,29.479999542236328
29,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,251.31,99,99,79,98,240172032,21.770000457763672
30,MSTR,Technology,Software—Application,NASDAQ,248.56,99,99,99,98,26063867904,1507.260009765625
31,LPCN,Healthcare,Biotechnology,NASDAQ,247.43,99,94,64,12,38398208,10.6899995803833
32,ELYM,Healthcare,Biotechnology,NASDAQ,242.93,99,99,32,26,218679408,7.659999847412109
