Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ASTS,Technology,Communication Equipment,NASDAQ,598.45,99,99,8,13,2532088320,19.530000686645508
2,WGS,Healthcare,Health Information Services,NASDAQ,561.06,99,99,99,94,671555136,28.81999969482422
3,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,468.63,99,99,99,23,16871360,2.75
4,TLSIW,Healthcare,Medical Devices,NASDAQ,436.6,99,99,99,99,n/a,1.2999999523162842
5,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,432.7,99,99,99,36,497564096,16.100000381469727
6,LENZ,Healthcare,Biotechnology,NASDAQ,425.86,99,99,99,71,467792032,23.549999237060547
7,CRBP,Healthcare,Biotechnology,NASDAQ,420.37,99,99,99,99,468184352,52.939998626708984
8,MDIA,Communication Services,Broadcasting,NASDAQ,409.98,99,99,99,12,132641344,3.6600000858306885
9,VSSYW,Technology,Software—Application,NASDAQ,373.73,99,99,98,16,n/a,0.09000000357627869
10,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,369.72,99,99,99,60,653293888,55.2599983215332
11,RNA,Healthcare,Biotechnology,NASDAQ,364.78,99,99,99,94,4130786048,43.810001373291016
12,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,346.72,99,99,99,27,41906316,4.639999866485596
13,LUMN,Communication Services,Telecom Services,NYSE,341.98,99,14,19,34,1086092800,5.0
14,CADL,Healthcare,Biotechnology,NASDAQ,323.96,99,99,99,92,199960320,5.21999979019165
15,ALAR,Technology,Software - Infrastructure,NASDAQ,323.08,99,99,99,99,212824336,20.260000228881836
16,TENK,Financial Services,Shell Companies,NASDAQ,317.63,99,54,44,45,75512464,37.5
17,EUDA,Healthcare,Health Information Services,NASDAQ,316.35,99,99,94,88,93790424,3.8499999046325684
18,WTO,Technology,Consumer Electronics,NASDAQ,309.45,99,99,32,6,211741552,1.0399999618530273
19,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,299.17,99,98,97,97,51737596,7.349999904632568
