Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
692,NR,Energy,Oil & Gas Equipment & Services,NYSE,110.4,88,87,81,81,671389376.0,8.260000228881836
694,CLH,Industrials,Waste Management,NYSE,110.37,88,84,78,69,12240031744.0,228.92999267578125
697,NVT,Industrials,Electrical Equipment & Parts,NYSE,110.33,88,93,90,79,13241676800.0,77.52999877929688
698,EGO,Basic Materials,Gold,NYSE,110.32,88,92,83,88,3030966272.0,15.0
699,MCK,Healthcare,Medical Distribution,NYSE,110.28,88,78,81,69,78372454400.0,604.4199829101562
700,TRAK,Technology,Software—Application,NYSE,110.26,88,94,95,90,291764640.0,14.6899995803833
703,GS,Financial Services,Capital Markets,NYSE,110.19,88,86,76,77,147504250880.0,457.3800048828125
704,JILL,Consumer Cyclical,Apparel Retail,NYSE,110.19,88,83,81,35,396840672.0,34.04999923706055
705,TRTX,Real Estate,REIT—Mortgage,NYSE,110.17,88,89,74,46,675558656.0,8.739999771118164
707,ACR,Real Estate,REIT - Mortgage,NYSE,110.14,88,91,92,65,102189840.0,12.899999618530272
708,CCJ,Energy,Uranium,NYSE,110.14,88,90,77,90,22783049728.0,50.040000915527344
709,CHEF,Consumer Defensive,Food Distribution,NASDAQ,110.13,88,77,81,55,1543937408.0,39.77000045776367
710,ISRG,Healthcare,Medical Instruments & Supplies,NASDAQ,110.13,88,77,82,68,154297106432.0,442.30999755859375
711,DB,Financial Services,Banks—Regional,NYSE,110.1,88,91,87,84,31177355264.0,15.68000030517578
712,DVA,Healthcare,Medical Care Facilities,NYSE,110.07,88,83,89,75,12472186880.0,142.9199981689453
713,SMFG,Financial Services,Banks—Diversified,NYSE,110.02,88,84,82,54,86507257856.0,12.970000267028809
717,BELFA,Technology,Electronic Components,NASDAQ,109.94,88,91,89,93,863929984.0,77.4000015258789
718,MTX,Basic Materials,Specialty Chemicals,NYSE,109.93,88,86,75,81,2722393088.0,81.9000015258789
720,TTP,Financial Services,Asset Management,NYSE,109.9,88,81,74,56,68839704.0,35.27000045776367
721,RGA,Financial Services,Insurance—Reinsurance,NYSE,109.88,88,86,84,70,13578810368.0,207.0200042724609
722,UZF,,,NYSE,109.87,88,69,68,73,,20.440000534057617
723,CACI,Technology,Information Technology Services,NYSE,109.85,88,83,72,44,9629146112.0,435.3599853515625
726,MFC,Financial Services,Insurance—Life,NYSE,109.77,88,86,82,79,45727088640.0,26.479999542236328
730,FNKO,Consumer Cyclical,Leisure,NASDAQ,109.65,88,61,15,18,556892608.0,9.25
731,CTAS,Industrials,Specialty Business Services,NASDAQ,109.62,87,81,84,80,72141209600.0,714.9299926757812
733,LNTH,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,109.6,87,57,24,22,5623330816.0,81.91000366210938
735,HRB,Consumer Cyclical,Personal Services,NYSE,109.56,87,79,78,87,7409042944.0,53.310001373291016
736,GMED,Healthcare,Medical Devices,NYSE,109.55,87,80,36,25,9051518976.0,67.41000366210938
737,CW,Industrials,Aerospace & Defense,NYSE,109.54,87,88,83,76,10670046208.0,273.19000244140625
738,BJ,Consumer Defensive,Discount Stores,NYSE,109.53,87,84,59,31,11945137152.0,89.16999816894531
739,RAND,Financial Services,Asset Management,NASDAQ,109.47,87,72,52,47,41296320.0,16.360000610351562
741,SEM,Healthcare,Medical Care Facilities,NYSE,109.42,87,80,70,25,4431490560.0,34.529998779296875
742,FYBR,Communication Services,Telecom Services,NASDAQ,109.42,87,86,74,91,6246111744.0,25.21999931335449
743,MTZ,Industrials,Engineering & Construction,NYSE,109.41,87,91,60,22,8793661440.0,109.81999969482422
746,UZE,,,NYSE,109.3,87,70,67,74,,20.440000534057617
747,FANG,Energy,Oil & Gas E&P,NASDAQ,109.27,87,83,88,64,33683830784.0,197.8800048828125
748,TCOM,Consumer Cyclical,Travel Services,NASDAQ,109.27,87,88,78,41,33623267328.0,48.470001220703125
750,ARBKL,,,NASDAQ,109.15,87,89,80,99,,9.09000015258789
751,KB,Financial Services,Banks—Regional,NYSE,109.14,87,88,84,48,21525770240.0,56.09000015258789
752,MSI,Technology,Communication Equipment,NYSE,109.12,87,76,76,64,63979495424.0,390.3599853515625
753,STRA,Consumer Defensive,Education & Training Services,NASDAQ,109.08,87,87,82,76,2718747136.0,108.9000015258789
756,ALLY,Financial Services,Credit Services,NYSE,109.04,87,86,89,91,12174438400.0,39.68999862670898
757,ONON,Consumer Cyclical,Footwear & Accessories,NYSE,109.01,87,86,76,47,13484081152.0,38.7599983215332
759,GLW,Technology,Electronic Components,NYSE,108.98,87,74,48,29,34444648448.0,39.77000045776367
760,HPQ,Technology,Computer Hardware,NYSE,108.88,87,66,52,55,35962081280.0,36.27000045776367
762,BAH,Industrials,Consulting Services,NYSE,108.83,87,85,85,72,19917484032.0,157.38999938964844
763,MEC,Industrials,Metal Fabrication,NYSE,108.83,87,83,55,71,341771200.0,16.709999084472656
764,ACGL,Financial Services,Insurance - Diversified,NASDAQ,108.81,87,82,79,46,37849796608.0,102.1500015258789
765,TPB,Consumer Defensive,Tobacco,NYSE,108.81,87,90,77,70,557021952.0,32.2599983215332
766,APO,Financial Services,Asset Management,NYSE,108.74,87,85,88,80,66755551232.0,118.47000122070312
768,TWN,Financial Services,Asset Management,NYSE,108.67,87,79,81,77,292780736.0,43.29999923706055
769,BBSI,Industrials,Staffing & Employment Services,NASDAQ,108.64,87,78,82,82,876483072.0,33.310001373291016
770,IIPR,Real Estate,REIT - Industrial,NYSE,108.64,87,89,83,87,3073433856.0,109.31999969482422
771,HIG,Financial Services,Insurance—Property & Casualty,NYSE,108.63,87,83,88,66,30317846528.0,103.54000091552734
772,TTEK,Industrials,Engineering & Construction,NASDAQ,108.61,87,88,69,59,10967481344.0,212.8000030517578
774,ADUS,Healthcare,Medical Care Facilities,NASDAQ,108.59,87,80,58,38,1952976896.0,120.4000015258789
775,EVR,Financial Services,Capital Markets,NYSE,108.59,87,90,87,90,7879705600.0,194.47000122070312
778,SAP,Technology,Software—Application,NYSE,108.48,87,82,89,77,220642000896.0,195.7400054931641
779,XPRO,Energy,Oil & Gas Equipment & Services,NYSE,108.45,87,73,60,15,2507596032.0,23.549999237060547
781,SLCA,Energy,Oil & Gas Equipment & Services,NYSE,108.39,87,84,42,19,1203275904.0,15.43000030517578
783,VRRM,Industrials,Infrastructure Operations,NASDAQ,108.37,87,88,79,85,4326319104.0,27.3799991607666
785,IIF,Financial Services,Asset Management,NYSE,108.29,87,76,71,67,256330848.0,26.190000534057617
786,YPF,Energy,Oil & Gas Integrated,NYSE,108.26,87,89,87,90,11861810176.0,20.81999969482422
787,SM,Energy,Oil & Gas E&P,NYSE,108.23,87,84,90,65,5551636992.0,49.38999938964844
788,IFF,Basic Materials,Specialty Chemicals,NYSE,108.21,87,86,59,48,24549445632.0,95.9000015258789
789,MLI,Industrials,Metal Fabrication,NYSE,108.2,87,88,82,84,6268282368.0,56.97999954223633
791,WMB,Energy,Oil & Gas Midstream,NYSE,108.12,87,78,75,63,50529370112.0,42.88999938964844
793,UZD,,,NYSE,108.09,86,64,59,70,,22.350000381469727
794,SFL,Industrials,Marine Shipping,NYSE,108.01,86,87,84,75,1827385216.0,13.710000038146973
795,KRT,Consumer Cyclical,Packaging & Containers,NASDAQ,108.0,86,86,91,92,571684544.0,28.600000381469727
796,IOR,Financial Services,Mortgage Finance,NYSE MKT,107.98,86,84,66,40,67615064.0,16.25
797,AMAL,Financial Services,Banks - Regional,NASDAQ,107.98,86,86,73,92,762184256.0,25.600000381469727
798,SYF,Financial Services,Credit Services,NYSE,107.95,86,84,83,80,17804460032.0,45.15999984741211
799,YMM,Technology,Software—Application,NYSE,107.91,86,89,49,25,9171227648.0,8.5600004196167
800,PWR,Industrials,Engineering & Construction,NYSE,107.84,86,89,85,80,41164308480.0,272.9700012207031
801,ASX,Technology,Semiconductors,NYSE,107.8,86,85,85,83,25788012544.0,11.470000267028809
803,EVBG,Technology,Software—Application,NASDAQ,107.77,86,90,85,20,1444075264.0,34.790000915527344
805,CAKE,Consumer Cyclical,Restaurants,NASDAQ,107.75,86,68,55,60,2015914368.0,40.75
806,CPNG,Consumer Cyclical,Internet Retail,NYSE,107.74,86,86,54,30,36457115648.0,21.21999931335449
811,WRBY,Healthcare,Medical Instruments & Supplies,NYSE,107.64,86,89,59,71,2005202048.0,15.720000267028809
812,NXPI,Technology,Semiconductors,NASDAQ,107.63,86,87,75,74,69392637952.0,269.9200134277344
813,CGBD,Financial Services,Asset Management,NASDAQ,107.56,86,82,73,63,906688960.0,18.190000534057617
815,PJT,Financial Services,Capital Markets,NYSE,107.45,86,82,64,88,4205684224.0,105.16999816894533
816,HPE,Technology,Communication Equipment,NYSE,107.43,86,78,53,43,28384792576.0,21.1200008392334
817,FTI,Energy,Oil & Gas Equipment & Services,NYSE,107.41,86,88,89,81,10619199488.0,25.84000015258789
818,OLK,Healthcare,Diagnostics & Research,NASDAQ,107.4,86,72,71,88,3170746624.0,25.26000022888184
820,AEM,Basic Materials,Gold,NYSE,107.29,86,89,72,64,32214157312.0,64.88999938964844
821,NRIM,Financial Services,Banks—Regional,NASDAQ,107.28,86,78,58,87,306821568.0,55.119998931884766
823,BLFS,Healthcare,Medical Instruments & Supplies,NASDAQ,107.22,86,89,48,28,919533184.0,21.36000061035156
825,AXP,Financial Services,Credit Services,NYSE,107.08,86,87,85,76,164943364096.0,230.58999633789065
826,BAC,Financial Services,Banks - Diversified,NYSE,107.07,86,85,81,75,312736612352.0,39.380001068115234
827,CEM,Financial Services,Asset Management,NYSE,107.05,86,84,84,77,631607424.0,46.29999923706055
830,LINC,Consumer Defensive,Education & Training Services,NASDAQ,106.99,86,87,84,91,329529952.0,10.970000267028809
831,JYNT,Healthcare,Medical Care Facilities,NASDAQ,106.93,86,94,70,17,209185392.0,13.770000457763672
832,DGP,,,NYSE ARCA,106.93,86,86,74,66,,53.68000030517578
833,FUN,Consumer Cyclical,Leisure,NYSE,106.9,86,60,50,35,2659486976.0,49.25
836,QFIN,Financial Services,Credit Services,NASDAQ,106.89,86,87,64,21,3070924288.0,19.799999237060547
837,PLNT,Consumer Cyclical,Leisure,NYSE,106.86,86,38,32,75,6398289408.0,73.36000061035156
838,CL,Consumer Defensive,Household & Personal Products,NYSE,106.85,86,74,73,57,79590981632.0,98.6999969482422
839,ADI,Technology,Semiconductors,NASDAQ,106.82,86,83,47,56,116799561728.0,230.33999633789065
841,PTCT,Healthcare,Biotechnology,NASDAQ,106.81,86,78,28,27,2731939840.0,35.150001525878906
844,NWSA,Communication Services,Entertainment,NASDAQ,106.74,86,77,81,84,15498554368.0,27.8700008392334
846,VEL,Financial Services,Mortgage Finance,NYSE,106.73,86,90,90,94,601331136.0,18.11000061035156
848,AXS,Financial Services,Insurance - Specialty,NYSE,106.72,86,83,74,43,5995621376.0,71.51000213623047
849,ADX,Financial Services,Asset Management,NYSE,106.69,86,78,76,69,2655439360.0,21.3700008392334
851,AM,Energy,Oil & Gas Midstream,NYSE,106.66,86,78,79,69,6987619328.0,14.899999618530272
852,TKO,Communication Services,Entertainment,NYSE,106.61,85,75,37,29,8708075520.0,107.11000061035156
853,OWL,Financial Services,Asset Management,NYSE,106.61,85,91,91,83,25458853888.0,17.65999984741211
854,ING,Financial Services,Banks—Diversified,NYSE,106.52,85,88,78,73,55016312832.0,16.979999542236328
855,EMO,Financial Services,Asset Management,NYSE,106.52,85,85,85,77,544738944.0,40.77999877929688
857,VIRT,Financial Services,Capital Markets,NASDAQ,106.48,85,86,64,68,3815098368.0,23.049999237060547
858,FIS,Technology,Information Technology Services,NYSE,106.44,85,87,85,52,42859143168.0,75.19999694824219
860,VEON,Communication Services,Telecom Services,NASDAQ,106.42,85,79,80,61,1977555200.0,25.729999542236328
863,MMM,Industrials,Conglomerates,NYSE,106.4,85,83,52,66,55762190336.0,102.0500030517578
866,OSW,Consumer Cyclical,Leisure,NASDAQ,106.35,85,81,49,82,1562332928.0,15.170000076293944
867,AMZN,Consumer Cyclical,Internet Retail,NASDAQ,106.34,85,81,88,87,1902430519296.0,186.33999633789065
868,PLMR,Financial Services,Insurance—Property & Casualty,NASDAQ,106.33,85,88,91,59,2018039680.0,79.61000061035156
871,C,Financial Services,Banks - Diversified,NYSE,106.3,85,88,87,79,115934199808.0,61.58000183105469
873,BKNG,Consumer Cyclical,Travel Services,NASDAQ,106.26,85,78,73,85,134800064512.0,4014.3798828125
874,KYN,Financial Services,Asset Management,NYSE,106.23,85,75,77,56,1728467712.0,10.5600004196167
875,LOCO,Consumer Cyclical,Restaurants,NASDAQ,106.22,85,68,52,29,319896544.0,11.18000030517578
876,JWN,Consumer Cyclical,Department Stores,NYSE,106.22,85,82,74,68,3559365632.0,21.09000015258789
877,IMPPP,Energy,Oil & Gas Midstream,NASDAQ,106.22,85,81,79,51,,25.3799991607666
880,TTD,Technology,Software—Application,NASDAQ,106.15,85,82,75,56,45317619712.0,97.7300033569336
881,LILA,Communication Services,Telecom Services,NASDAQ,106.14,85,77,24,25,1643194112.0,9.149999618530272
882,OGN,Healthcare,Drug Manufacturers—General,NYSE,106.11,85,83,62,13,5233430016.0,20.790000915527344
883,FBP,Financial Services,Banks - Regional,NYSE,106.1,85,82,83,86,2917465600.0,17.889999389648438
885,ESI,Basic Materials,Specialty Chemicals,NYSE,106.03,85,72,75,76,6741482496.0,26.709999084472656
887,WLYB,Communication Services,Publishing,NYSE,105.96,85,65,59,33,1946249856.0,40.58000183105469
888,SII,Financial Services,Asset Management,NYSE,105.92,85,88,63,41,1047553792.0,41.16999816894531
889,GLP,Energy,Oil & Gas Midstream,NYSE,105.9,85,82,83,90,1513702016.0,45.34000015258789
890,MSFT,Technology,Software—Infrastructure,NASDAQ,105.9,85,74,81,81,3317337161728.0,450.9500122070313
891,SENEB,Consumer Defensive,Packaged Foods,NASDAQ,105.88,85,80,31,34,404910432.0,57.40999984741211
894,PEBK,Financial Services,Banks—Regional,NASDAQ,105.84,85,86,64,84,154603888.0,29.06999969482422
897,VNOM,Energy,Oil & Gas Midstream,NASDAQ,105.74,85,83,86,62,6633830912.0,37.09999847412109
901,ITOS,Healthcare,Biotechnology,NASDAQ,105.69,85,93,65,23,540037376.0,14.619999885559082
