Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,BTCT,Technology,Computer Hardware,NASDAQ,598.68,99,13,8,11,5822061,14.630000114440918
2,UMAC,Financial Services,Shell Companies,NYSE MKT,581.55,99,47,32,30,16520012,15.069999694824219
3,JFBR,Consumer Cyclical,Internet Retail,NASDAQ,528.13,99,26,2,3,3413881,2.5799999237060547
4,DOGZ,Consumer Cyclical,Leisure,NASDAQ,519.76,99,99,99,98,201654288,47.4900016784668
5,KULR,Technology,Electronic Components,NYSE MKT,511.6,99,56,33,93,65343560,1.409999966621399
6,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,472.01,99,99,99,99,41906316,9.109999656677246
7,APP,Technology,Software - Application,NASDAQ,449.1,99,99,95,97,26597492736,340.5899963378906
8,LENZ,Healthcare,Biotechnology,NASDAQ,446.48,99,99,99,99,467792032,37.369998931884766
9,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,444.44,99,99,99,99,497564096,28.219999313354492
10,SMR,Industrials,Specialty Industrial Machinery,NYSE,436.82,99,99,87,95,768516800,27.219999313354492
11,DAVE,Technology,Software—Application,NASDAQ,430.44,99,98,99,99,470895648,93.01000213623047
12,RKLB,Industrials,Aerospace & Defense,NASDAQ,414.45,99,99,83,39,2419549696,24.155000686645508
13,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,408.89,99,99,96,8,n/a,1.0609999895095825
14,MFH,Financial Services,Capital Markets,NASDAQ,395.03,99,20,18,40,91229848,6.28000020980835
15,ATGL,Technology,Software - Infrastructure,NASDAQ,392.35,99,98,8,14,45329624,13.699999809265137
16,CAPR,Healthcare,Biotechnology,NASDAQ,391.23,99,99,24,66,154779824,19.639999389648438
17,PDYN,Technology,Software—Infrastructure,NASDAQ,389.84,99,98,83,96,42218636,5.920000076293945
18,WAVE,Utilities,Utilities—Renewable,NASDAQ,386.88,99,99,98,98,19145292,10.600000381469727
19,CHSN,Consumer Cyclical,Restaurants,NASDAQ,380.56,99,99,39,42,36054652,7.329999923706055
20,AZ,Industrials,Aerospace & Defense,NASDAQ,338.36,99,99,27,1,17750308,6.690000057220459
21,MSTR,Technology,Software—Application,NASDAQ,327.09,99,99,95,99,26063867904,380.29998779296875
22,INOD,Technology,Information Technology Services,NASDAQ,326.66,99,97,93,97,397365056,40.52000045776367
23,IONQ,Technology,Computer Hardware,NYSE,324.44,99,95,13,11,1524590592,32.060001373291016
24,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,320.81,99,99,97,99,653293888,99.2699966430664
25,CNVS,Communication Services,Entertainment,NASDAQ,318.97,99,99,16,9,11539383,3.5799999237060547
26,XTKG,Technology,Software—Application,NASDAQ,317.09,99,1,1,17,184342528,1.5800000429153442
27,GMM,Technology,Information Technology Services,NASDAQ,309.5,99,2,15,6,25562496,4.599999904632568
28,ACRS,Healthcare,Diagnostics & Research,NASDAQ,309.25,99,89,30,9,80529224,3.9600000381469727
29,DBVT,Healthcare,Biotechnology,NASDAQ,308.79,99,8,9,4,98147712,3.9700000286102295
30,SMMT,Healthcare,Biotechnology,NASDAQ,305.03,99,99,99,99,5601800704,18.489999771118164
31,SRRK,Healthcare,Biotechnology,NASDAQ,301.65,99,98,21,33,768031936,37.959999084472656
32,HTCO,n/a,n/a,NASDAQ,299.53,99,96,8,96,n/a,1.840000033378601
33,SGMO,Healthcare,Biotechnology,NASDAQ,298.83,99,99,70,20,87403216,2.359999895095825
34,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,296.85,99,99,99,98,51737596,15.720000267028809
35,OMER,Healthcare,Biotechnology,NASDAQ,293.28,99,91,43,52,236991792,11.949999809265137
