Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ALAR,Technology,Software - Infrastructure,NASDAQ,571.48,99,99,99,99,212824336.0,33.58000183105469
5,WGS,Healthcare,Health Information Services,NASDAQ,451.17,99,99,97,6,671555136.0,26.190000534057617
8,CRBP,Healthcare,Biotechnology,NASDAQ,389.05,99,99,99,54,468184352.0,43.4900016784668
14,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,315.65,99,98,98,97,240172032.0,19.26000022888184
15,RNA,Healthcare,Biotechnology,NASDAQ,298.01,99,99,98,53,4130786048.0,39.90999984741211
20,INSG,Technology,Communication Equipment,NASDAQ,281.17,99,99,19,3,103737712.0,10.300000190734863
23,DOGZ,Consumer Cyclical,Leisure,NASDAQ,268.2,99,94,19,10,201654288.0,18.940000534057617
25,VITL,Consumer Defensive,Farm Products,NASDAQ,256.06,99,99,94,75,1736422912.0,46.220001220703125
27,ASTS,Technology,Communication Equipment,NASDAQ,249.89,99,87,6,75,2532088320.0,11.229999542236328
33,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,233.78,99,99,99,99,12955388928.0,126.5999984741211
34,INSM,Healthcare,Biotechnology,NASDAQ,230.76,99,97,64,90,10697345024.0,68.9800033569336
38,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,224.54,99,97,96,98,931521536.0,23.600000381469727
41,ANF,Consumer Cyclical,Apparel Retail,NYSE,217.98,99,98,98,99,9468789760.0,173.4199981689453
45,IREN,Financial Services,Capital Markets,NASDAQ,209.18,99,96,89,99,2044846720.0,12.270000457763672
46,DYN,Healthcare,Biotechnology,NASDAQ,208.42,99,97,98,94,3297019648.0,33.91999816894531
50,TPC,Industrials,Engineering & Construction,NYSE,201.2,99,99,96,80,1027907392.0,21.88999938964844
51,FTAI,Industrials,Rental & Leasing Services,NASDAQ,200.5,99,98,96,96,9574752256.0,100.70999908447266
55,ADMA,Healthcare,Biotechnology,NASDAQ,198.96,99,98,94,84,2461811456.0,10.84000015258789
57,SMR,Industrials,Specialty Industrial Machinery,NYSE,197.04,99,98,64,4,768516800.0,11.520000457763672
58,NVDA,Technology,Semiconductors,NASDAQ,196.3,99,98,97,95,3335037648896.0,126.4000015258789
61,HIMS,Consumer Defensive,Household & Personal Products,NYSE,194.68,99,97,96,82,5324545024.0,21.559999465942383
72,VST,Utilities,Utilities—Independent Power Producers,NYSE,184.2,98,99,98,91,30652921856.0,85.91000366210938
76,CLS,Technology,Electronic Components,NYSE,182.52,98,98,98,96,7053986816.0,55.29999923706055
79,APEI,Consumer Defensive,Education & Training Services,NASDAQ,180.17,98,98,98,96,287177152.0,16.15999984741211
88,ZIM,Industrials,Marine Shipping,NYSE,175.65,98,97,26,32,2471393536.0,21.600000381469727
89,FIP,Industrials,Conglomerates,NASDAQ,175.49,98,98,96,79,851178752.0,8.6899995803833
91,FNGU,,,NYSE ARCA,175.31,98,96,97,98,,446.0499877929688
92,CDRO,Consumer Cyclical,Gambling,NASDAQ,174.82,98,96,97,51,337469344.0,8.020000457763672
94,CAMT,Technology,Semiconductor Equipment & Materials,NASDAQ,174.05,98,97,95,97,5384241152.0,117.76000213623048
95,TMDX,Healthcare,Medical Devices,NASDAQ,173.96,98,97,40,77,4765039104.0,144.66000366210938
97,RSI,Consumer Cyclical,Gambling,NYSE,173.38,98,97,95,61,2178609920.0,9.350000381469728
99,VRT,Industrials,Electrical Equipment & Parts,NYSE,172.66,98,99,99,98,34177699840.0,87.01000213623047
100,BLBD,Consumer Cyclical,Auto Manufacturers,NASDAQ,172.19,98,98,93,90,1851384448.0,53.77000045776367
101,OSCR,Healthcare,Healthcare Plans,NYSE,171.76,98,98,96,97,4561817600.0,17.920000076293945
107,PEPG,Healthcare,Biotechnology,NASDAQ,170.42,98,96,97,29,530345408.0,16.920000076293945
108,EVER,Communication Services,Internet Content & Information,NASDAQ,170.18,98,99,97,85,663600512.0,20.020000457763672
117,BMA,Financial Services,Banks - Regional,NYSE,166.12,98,98,97,94,5020511232.0,56.93000030517578
120,SG,Consumer Cyclical,Restaurants,NYSE,165.85,98,99,98,38,3552299776.0,28.520000457763672
121,CAVA,Consumer Cyclical,Restaurants,NYSE,165.39,98,95,93,60,10877130752.0,91.79000091552734
123,ORN,Industrials,Engineering & Construction,NYSE,164.88,97,98,98,93,335457728.0,9.359999656677246
125,SMLP,Energy,Oil & Gas Midstream,NYSE,164.04,97,97,95,50,347786528.0,35.849998474121094
126,APP,Technology,Software - Application,NASDAQ,163.64,97,98,98,97,26597492736.0,80.4800033569336
129,NRIX,Healthcare,Biotechnology,NASDAQ,162.34,97,95,92,72,1126084736.0,20.459999084472656
132,CALT,Healthcare,Biotechnology,NASDAQ,161.2,97,97,39,85,1048215232.0,38.369998931884766
133,MRUS,Healthcare,Biotechnology,NASDAQ,161.13,97,97,96,90,3654148864.0,56.9900016784668
136,VIRC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,160.53,97,97,95,98,256325664.0,14.25
137,MMYT,Consumer Cyclical,Travel Services,NASDAQ,160.06,97,97,97,94,8979321856.0,82.52999877929688
140,EAT,Consumer Cyclical,Restaurants,NYSE,157.89,97,96,86,80,3028023296.0,72.87000274658203
