Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,501.92,99,99,98,8,671555136,34.220001220703125
2,ALAR,Technology,Software - Infrastructure,NASDAQ,464.21,99,99,99,99,212824336,34.209999084472656
3,TLSIW,Healthcare,Medical Devices,NASDAQ,463.0,99,99,99,99,n/a,1.2999999523162842
4,CRBP,Healthcare,Biotechnology,NASDAQ,447.08,99,99,99,72,468184352,53.34000015258789
5,AGBA,Financial Services,Asset Management,NASDAQ,418.24,99,99,16,6,229691088,2.430000066757202
6,LENZ,Healthcare,Biotechnology,NASDAQ,405.32,99,99,99,74,467792032,19.610000610351562
7,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,386.33,99,99,99,9,16871360,2.6700000762939453
8,MBRX,Healthcare,Biotechnology,NASDAQ,383.51,99,99,99,18,9199929,3.950000047683716
9,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,345.11,99,99,99,89,653293888,63.29999923706055
10,ASTS,Technology,Communication Equipment,NASDAQ,334.32,99,99,8,67,2532088320,11.899999618530273
11,INSG,Technology,Communication Equipment,NASDAQ,328.76,99,98,16,2,103737712,11.579999923706055
12,VSSYW,Technology,Software—Application,NASDAQ,315.23,99,99,97,8,n/a,0.09300000220537186
13,DAVE,Technology,Software—Application,NASDAQ,310.96,99,99,99,98,470895648,36.34000015258789
14,LBPH,Healthcare,Biotechnology,NASDAQ,309.14,99,98,98,99,738721920,38.36000061035156
15,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,306.79,99,98,11,4,317554912,9.890000343322754
16,RNA,Healthcare,Biotechnology,NASDAQ,301.95,99,99,98,77,4130786048,44.310001373291016
17,SLNHP,Financial Services,Capital Markets,NASDAQ,298.23,99,96,75,99,n/a,6.579999923706055
18,CADL,Healthcare,Biotechnology,NASDAQ,297.05,99,99,99,66,199960320,5.909999847412109
19,MDIA,Communication Services,Broadcasting,NASDAQ,277.38,99,99,99,9,132641344,3.549999952316284
20,XBIOW,Healthcare,Biotechnology,NASDAQ,276.25,99,99,98,98,n/a,12.010000228881836
21,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,275.76,99,99,98,30,41906316,4.300000190734863
22,NAMSW,Healthcare,Biotechnology,NASDAQ,275.22,99,99,99,96,n/a,10.100000381469727
23,SMMT,Healthcare,Biotechnology,NASDAQ,274.74,99,99,95,95,5601800704,8.680000305175781
24,SEZL,Financial Services,Credit Services,NASDAQ,273.27,99,98,99,97,469543264,82.18000030517578
25,JMIA,Consumer Cyclical,Internet Retail,NYSE,268.65,99,98,89,40,802544768,12.079999923706055
26,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,268.23,99,98,96,96,931521536,29.06999969482422
27,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,262.93,99,99,99,89,240172032,23.440000534057617
28,KOSS,Technology,Consumer Electronics,NASDAQ,262.74,99,92,14,19,35908624,8.789999961853027
29,WTO,Technology,Consumer Electronics,NASDAQ,261.72,99,96,17,6,211741552,1.0
30,EUDA,Healthcare,Health Information Services,NASDAQ,256.08,99,96,92,89,93790424,3.9800000190734863
31,INSM,Healthcare,Biotechnology,NASDAQ,254.84,99,99,77,89,10697345024,77.02999877929688
32,MYO,Healthcare,Medical Devices,NYSE MKT,254.53,99,99,98,99,93071160,4.889999866485596
33,BRFH,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,251.46,99,93,13,26,37830144,3.740000009536743
34,IPW,Consumer Cyclical,Internet Retail,NASDAQ,247.96,99,99,18,28,59636400,1.7400000095367432
35,SHCRW,Healthcare,Health Information Services,NASDAQ,243.96,99,7,8,4,n/a,0.08399999886751175
36,REBN,Consumer Cyclical,Restaurants,NASDAQ,240.95,99,98,1,14,17694680,6.199999809265137
37,VITL,Consumer Defensive,Farm Products,NASDAQ,239.85,99,99,97,82,1736422912,44.09000015258789
38,SWVL,Technology,Software—Application,NASDAQ,239.73,99,99,99,99,79203824,6.739999771118164
39,SMR,Industrials,Specialty Industrial Machinery,NYSE,238.9,99,95,86,1,768516800,13.0600004196167
40,JAN,Industrials,Waste Management,NASDAQ,238.15,99,99,99,25,26726818,2.140000104904175
41,DYN,Healthcare,Biotechnology,NASDAQ,233.63,99,98,98,96,3297019648,41.959999084472656
42,ADMA,Healthcare,Biotechnology,NASDAQ,232.34,99,98,94,93,2461811456,12.3100004196167
43,AEYE,Technology,Software - Application,NASDAQ,231.7,99,99,98,61,212526320,19.079999923706055
44,AEHL,Industrials,Building Products & Equipment,NASDAQ,230.31,99,16,6,4,13927713,5.960000038146973
45,VIVK,Energy,Oil & Gas Integrated,NASDAQ,229.76,99,97,28,57,46276200,2.5299999713897705
46,SLNO,Healthcare,Biotechnology,NASDAQ,229.23,99,99,99,99,1734692864,44.5
47,RZLT,Healthcare,Biotechnology,NASDAQ,227.04,99,99,98,13,199377680,4.28000020980835
48,VKTX,Healthcare,Biotechnology,NASDAQ,226.41,99,98,99,96,6216909824,58.630001068115234
49,JANX,Healthcare,Biotechnology,NASDAQ,223.33,99,99,99,24,2094768384,42.279998779296875
50,ASPI,Basic Materials,Chemicals,NASDAQ,218.78,99,99,99,98,185828448,3.559999942779541
51,KZIA,Healthcare,Biotechnology,NASDAQ,217.1,99,13,9,4,7177354,1.2400000095367432
52,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,215.28,99,99,99,99,12955388928,129.92999267578125
53,TPST,Healthcare,Biotechnology,NASDAQ,215.22,99,98,86,97,70428840,2.1700000762939453
54,MEDS,Healthcare,Pharmaceutical Retailers,NASDAQ,214.83,99,17,87,16,13571277,18.420000076293945
55,ANF,Consumer Cyclical,Apparel Retail,NYSE,214.14,99,99,98,99,9468789760,173.7899932861328
56,ML,Technology,Software—Application,NYSE,213.79,99,99,99,99,849222144,74.76000213623047
57,OCGN,Healthcare,Biotechnology,NASDAQ,211.95,99,99,99,26,355148512,1.840000033378601
58,WULF,Financial Services,Capital Markets,NASDAQ,210.86,99,98,85,44,1031991936,4.75
59,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,207.98,99,97,84,97,640242240,16.1299991607666
60,SNDA,Healthcare,Medical Care Facilities,NYSE,205.74,99,98,99,58,333062208,30.079999923706055
61,CURV,Consumer Cyclical,Apparel Retail,NYSE,204.18,99,99,87,98,701232000,8.140000343322754
62,SLQT,Financial Services,Insurance Brokers,NYSE,203.99,98,97,80,22,478719968,3.7100000381469727
63,TPC,Industrials,Engineering & Construction,NYSE,203.24,98,98,97,72,1027907392,23.469999313354492
64,APEI,Consumer Defensive,Education & Training Services,NASDAQ,202.74,98,98,97,98,287177152,17.899999618530273
65,NVAX,Healthcare,Biotechnology,NASDAQ,201.18,98,99,13,7,2030502912,12.960000038146973
66,REAX,Real Estate,Real Estate Services,NASDAQ,200.83,98,98,98,95,728804992,5.28000020980835
67,NTRBW,Healthcare,Biotechnology,NASDAQ,200.64,98,98,1,6,n/a,1.0
68,BNTC,Healthcare,Biotechnology,NASDAQ,196.65,98,97,92,21,67914232,9.489999771118164
69,MSTR,Technology,Software—Application,NASDAQ,194.04,98,99,99,95,26063867904,1358.56005859375
70,FIP,Industrials,Conglomerates,NASDAQ,193.95,98,97,97,79,851178752,9.109999656677246
71,RDW,Industrials,Aerospace & Defense,NYSE,192.51,98,97,82,35,400030048,7.449999809265137
72,IREN,Financial Services,Capital Markets,NASDAQ,191.48,98,99,38,89,2044846720,11.199999809265137
73,VST,Utilities,Utilities—Independent Power Producers,NYSE,190.23,98,98,98,93,30652921856,91.61000061035156
74,CAMT,Technology,Semiconductor Equipment & Materials,NASDAQ,189.42,98,98,95,98,5384241152,129.32000732421875
75,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,188.5,98,98,98,97,51737596,4.789999961853027
76,ASPN,Industrials,Building Products & Equipment,NYSE,188.29,98,99,96,95,2276458240,26.110000610351562
77,HIMS,Consumer Defensive,Household & Personal Products,NYSE,187.88,98,98,94,71,5324545024,21.049999237060547
78,IBRX,Healthcare,Biotechnology,NASDAQ,187.49,98,97,98,97,4308468736,6.699999809265137
79,HUMA,Healthcare,Biotechnology,NASDAQ,186.59,98,98,55,36,706763520,6.449999809265137
80,INOD,Technology,Information Technology Services,NASDAQ,185.6,98,97,18,87,397365056,16.559999465942383
81,LRMR,Healthcare,Biotechnology,NASDAQ,185.18,98,97,97,83,502121728,9.800000190734863
82,ELYM,Healthcare,Biotechnology,NASDAQ,185.17,98,99,95,41,218679408,7.070000171661377
83,GCT,Technology,Software—Infrastructure,NASDAQ,184.45,98,98,99,99,1237901056,31.25
84,NVDA,Technology,Semiconductors,NASDAQ,184.04,98,98,97,97,3335037648896,127.4000015258789
85,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,183.57,98,97,95,75,744387584,13.739999771118164
86,EWTX,Healthcare,Biotechnology,NASDAQ,183.52,98,96,98,86,1511381888,22.329999923706055
87,RGS,Consumer Cyclical,Personal Services,NASDAQ,182.6,98,3,5,8,10647367,21.31999969482422
88,FTAI,Industrials,Rental & Leasing Services,NASDAQ,181.66,98,97,97,96,9574752256,96.44999694824219
89,CRIS,Healthcare,Biotechnology,NASDAQ,181.42,98,99,99,99,45973824,6.920000076293945
90,FFIE,Consumer Cyclical,Auto Manufacturers,NASDAQ,181.27,98,98,0,0,208312064,0.4050000011920929
91,BMR,Technology,Software - Application,NASDAQ,181.2,98,97,99,30,81870728,5.440000057220459
92,ARQ,Industrials,Pollution & Treatment Controls,NASDAQ,181.15,98,99,99,87,211915792,5.940000057220459
93,CDE,Basic Materials,Gold,NYSE,180.9,98,97,93,23,2232204288,6.769999980926514
94,CLS,Technology,Electronic Components,NYSE,180.02,98,98,98,96,7053986816,59.47999954223633
95,FENG,Communication Services,Internet Content & Information,NYSE,179.97,98,95,75,26,27865056,3.5899999141693115
96,AKA,Consumer Cyclical,Internet Retail,NYSE,179.68,98,98,97,89,150772864,15.609999656677246
97,SMCI,Technology,Computer Hardware,NASDAQ,179.54,98,97,99,98,46075764736,889.219970703125
98,UPC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,179.3,98,85,56,87,8896167,3.4800000190734863
99,FNGU,n/a,n/a,NYSE ARCA,179.22,98,96,96,99,n/a,501.42999267578125
100,DOGZ,Consumer Cyclical,Leisure,NASDAQ,178.64,98,98,76,2,201654288,15.520000457763672
101,MESO,Healthcare,Biotechnology,NASDAQ,177.66,98,99,96,5,854788736,7.460000038146973
102,ZJYL,Healthcare,Medical Instruments & Supplies,NASDAQ,177.38,98,98,99,99,447724416,2.809999942779541
103,PEPG,Healthcare,Biotechnology,NASDAQ,176.12,98,97,96,25,530345408,17.299999237060547
104,LEXX,Healthcare,Biotechnology,NASDAQ,175.66,98,98,95,88,42539904,2.809999942779541
105,ADCT,Healthcare,Biotechnology,NYSE,175.42,98,97,99,93,261734464,3.7899999618530273
106,GAU,Basic Materials,Gold,NYSE MKT,175.25,98,98,97,94,409514048,1.8300000429153442
107,OXBR,Financial Services,Insurance—Reinsurance,NASDAQ,175.2,98,97,16,11,14355918,2.5
108,MREO,Healthcare,Biotechnology,NASDAQ,174.85,98,97,95,99,608159936,3.890000104904175
109,NRIX,Healthcare,Biotechnology,NASDAQ,174.5,98,93,96,60,1126084736,22.030000686645508
110,CASI,Healthcare,Biotechnology,NASDAQ,173.42,98,54,14,98,35781740,6.360000133514404
111,SISI,Consumer Defensive,Farm Products,NASDAQ,172.57,98,99,3,9,20433694,2.119999885559082
112,APLT,Healthcare,Biotechnology,NASDAQ,172.45,98,97,99,97,514201504,5.380000114440918
113,DOYU,Communication Services,Internet Content & Information,NASDAQ,171.06,98,75,23,17,324264896,17.399999618530273
114,BYSI,Healthcare,Biotechnology,NASDAQ,170.23,98,96,96,18,114453136,2.2699999809265137
115,BMA,Financial Services,Banks - Regional,NYSE,170.2,98,98,98,93,5020511232,54.70000076293945
116,POET,Technology,Semiconductors,NASDAQ,169.17,98,71,9,1,126549736,3.009999990463257
117,VRT,Industrials,Electrical Equipment & Parts,NYSE,168.89,98,98,99,99,34177699840,92.86000061035156
118,ELUT,Healthcare,Medical Devices,NASDAQ,167.75,98,97,90,98,90006424,4.579999923706055
119,OUST,Technology,Electronic Components,NYSE,167.69,98,98,92,77,483004096,12.960000038146973
120,CDRO,Consumer Cyclical,Gambling,NASDAQ,167.35,98,97,98,66,337469344,7.880000114440918
121,HRTX,Healthcare,Biotechnology,NASDAQ,167.13,98,98,97,97,515233248,3.309999942779541
122,EVER,Communication Services,Internet Content & Information,NASDAQ,167.12,98,98,98,85,663600512,21.68000030517578
123,XTLB,Healthcare,Biotechnology,NASDAQ,166.88,97,97,98,34,11878951,2.680000066757202
124,CATX,Healthcare,Medical Devices,NYSE MKT,166.41,97,99,99,93,804254976,11.9399995803833
125,CALT,Healthcare,Biotechnology,NASDAQ,166.27,97,97,30,85,1048215232,39.060001373291016
126,GCI,Communication Services,Publishing,NYSE,165.94,97,97,56,40,647735680,4.869999885559082
127,HEPS,Consumer Cyclical,Internet Retail,NASDAQ,165.08,97,92,35,90,613841536,2.940000057220459
128,AKTX,Healthcare,Biotechnology,NASDAQ,163.85,97,78,3,15,33286302,3.5309998989105225
129,NTRB,Healthcare,Biotechnology,NASDAQ,163.69,97,98,89,29,57277360,5.949999809265137
130,SKGRW,Financial Services,Shell Companies,NASDAQ,163.62,97,73,99,10,n/a,0.27900001406669617
