Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,SMR,Industrials,Specialty Industrial Machinery,NYSE,544.14,99,99,98,98,768516800,27.270000457763672
2,WLGS,Industrials,Engineering & Construction,NASDAQ,543.4,99,99,17,11,8300080,3.75
3,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,495.37,99,99,99,99,497564096,31.399999618530273
4,BTCT,Technology,Computer Hardware,NASDAQ,487.84,99,10,11,10,5822061,12.880000114440918
5,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,466.13,99,97,99,99,653293888,95.48999786376953
6,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,449.78,99,99,99,99,41906316,7.800000190734863
7,LENZ,Healthcare,Biotechnology,NASDAQ,404.12,99,99,99,99,467792032,32.91999816894531
8,APP,Technology,Software - Application,NASDAQ,402.85,99,99,95,98,26597492736,298.0
9,SLNHP,Financial Services,Capital Markets,NASDAQ,401.1,99,99,99,66,n/a,12.489999771118164
10,LBPH,Healthcare,Biotechnology,NASDAQ,400.99,99,99,99,98,738721920,59.75
11,DAVE,Technology,Software—Application,NASDAQ,391.53,99,99,99,99,470895648,79.68000030517578
12,CAPR,Healthcare,Biotechnology,NASDAQ,379.36,99,99,33,88,154779824,18.3799991607666
13,SMMT,Healthcare,Biotechnology,NASDAQ,377.01,99,99,99,84,5601800704,18.979999542236328
14,MSTR,Technology,Software—Application,NASDAQ,373.14,99,99,98,99,26063867904,384.7900085449219
15,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,361.42,99,99,94,6,n/a,0.8700000047683716
16,RCAT,Technology,Computer Hardware,NASDAQ,355.76,99,98,99,79,75767136,4.900000095367432
17,ASTS,Technology,Communication Equipment,NASDAQ,355.71,99,99,99,98,2532088320,25.799999237060547
18,LUMN,Communication Services,Telecom Services,NYSE,355.23,99,99,99,22,1086092800,8.130000114440918
19,WAVE,Utilities,Utilities—Renewable,NASDAQ,342.94,99,99,96,97,19145292,9.430000305175781
20,RKLB,Industrials,Aerospace & Defense,NASDAQ,323.9,99,98,93,26,2419549696,19.290000915527344
21,AZ,Industrials,Aerospace & Defense,NASDAQ,322.55,99,98,26,1,17750308,6.670000076293945
22,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,311.89,99,99,98,90,17891930,5.070000171661377
23,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,311.1,99,99,99,99,12955388928,244.69000244140625
24,CHSN,Consumer Cyclical,Restaurants,NASDAQ,309.56,99,99,23,40,36054652,6.440000057220459
25,FOA,Financial Services,Credit Services,NYSE,309.04,99,87,21,6,60184624,27.299999237060547
26,CNVS,Communication Services,Entertainment,NASDAQ,307.0,99,98,16,12,11539383,3.5399999618530273
27,ATGL,Technology,Software - Infrastructure,NASDAQ,304.78,99,91,6,18,45329624,13.399999618530273
28,INOD,Technology,Information Technology Services,NASDAQ,302.66,99,97,98,92,397365056,41.439998626708984
29,PULM,Healthcare,Biotechnology,NASDAQ,301.28,99,39,39,25,7012377,6.71999979019165
30,CRVS,Healthcare,Biotechnology,NASDAQ,300.31,99,99,98,44,116970928,8.34000015258789
31,TLSIW,Healthcare,Medical Devices,NASDAQ,297.24,99,99,99,99,n/a,1.2000000476837158
32,AGFY,Industrials,Farm & Heavy Construction Machinery,NASDAQ,290.59,99,9,6,1,3856167,19.0
33,QUBT,Technology,Computer Hardware,NASDAQ,288.67,99,92,21,16,55720516,2.390000104904175
34,CDXC,Healthcare,Biotechnology,NASDAQ,285.65,99,95,97,97,207731696,7.269999980926514
35,WULF,Financial Services,Capital Markets,NASDAQ,283.44,99,99,99,87,1031991936,7.039999961853027
