Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,EXOD,n/a,n/a,NYSE MKT,579.03,99,99,98,94,n/a,53.099998474121094
2,ATGL,Technology,Software - Infrastructure,NASDAQ,573.76,99,99,6,25,45329624,15.300000190734863
3,XCUR,Healthcare,Biotechnology,NASDAQ,542.31,99,98,95,4,2953502,17.559999465942383
4,UMAC,Financial Services,Shell Companies,NYSE MKT,538.26,99,91,37,31,16520012,11.600000381469727
5,CANG,Consumer Cyclical,Auto & Truck Dealerships,NYSE,512.51,99,98,74,91,172202240,8.0
6,JFBR,Consumer Cyclical,Internet Retail,NASDAQ,508.52,99,8,12,2,3413881,2.0999999046325684
7,SOUN,Technology,Software—Application,NASDAQ,471.51,99,94,96,86,1570140800,20.844999313354492
8,DOGZ,Consumer Cyclical,Leisure,NASDAQ,468.97,99,99,99,99,201654288,46.560001373291016
9,NXL,Healthcare,Medical Devices,NASDAQ,468.4,99,99,44,98,7734022,2.950000047683716
10,MFH,Financial Services,Capital Markets,NASDAQ,427.6,99,98,17,86,91229848,6.809999942779541
11,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,420.98,99,13,16,23,15222720,2.8289999961853027
12,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,413.14,99,97,99,88,38072932,1.7999999523162842
13,HTCO,n/a,n/a,NASDAQ,409.36,99,98,10,43,n/a,2.3499999046325684
14,ARQQ,Technology,Software - Infrastructure,NASDAQ,406.17,99,13,8,7,56432848,37.0
15,SEZL,Financial Services,Credit Services,NASDAQ,405.58,99,99,99,99,469543264,242.1699981689453
16,IONQ,Technology,Computer Hardware,NYSE,385.37,99,99,27,9,1524590592,37.5
17,RKLB,Industrials,Aerospace & Defense,NASDAQ,384.12,99,99,95,53,2419549696,22.920000076293945
18,AZ,Industrials,Aerospace & Defense,NASDAQ,377.18,99,99,94,5,17750308,6.710000038146973
19,APP,Technology,Software - Application,NASDAQ,371.14,99,99,98,98,26597492736,313.07000732421875
20,DAVE,Technology,Software—Application,NASDAQ,357.16,99,99,99,99,470895648,89.62999725341797
21,SGMO,Healthcare,Biotechnology,NASDAQ,335.79,99,99,97,7,87403216,2.3499999046325684
22,MTC,Technology,Software—Application,NASDAQ,331.45,99,9,5,8,63646736,1.5099999904632568
23,SRRK,Healthcare,Biotechnology,NASDAQ,330.61,99,98,28,18,768031936,41.25
24,WKEY,Technology,Semiconductors,NASDAQ,328.95,99,36,46,37,20524460,7.699999809265137
25,AENT,Communication Services,Entertainment,NASDAQ,323.1,99,98,94,98,399373184,6.210000038146973
26,CNVS,Communication Services,Entertainment,NASDAQ,315.75,99,99,19,10,11539383,3.299999952316284
27,HUIZ,Financial Services,Insurance Brokers,NASDAQ,314.98,99,23,30,84,50026780,2.7300000190734863
28,GMM,Technology,Information Technology Services,NASDAQ,311.33,99,1,18,27,25562496,3.8499999046325684
29,LAES,Technology,Semiconductors,NASDAQ,308.42,99,7,3,4,23194648,2.3399999141693115
30,PRZO,Industrials,Aerospace & Defense,NASDAQ,308.41,99,25,21,52,6473153,2.1500000953674316
31,ICLK,Communication Services,Advertising Agencies,NASDAQ,307.71,99,83,94,6,12575997,8.579999923706055
32,LX,Financial Services,Credit Services,NASDAQ,304.01,99,96,44,29,277857952,5.739999771118164
33,ASTS,Technology,Communication Equipment,NASDAQ,302.28,99,99,99,99,2532088320,23.360000610351562
34,VRAR,Technology,Software—Infrastructure,NASDAQ,302.16,99,7,8,11,20507466,3.200000047683716
35,INOD,Technology,Information Technology Services,NASDAQ,301.08,99,99,96,97,397365056,34.189998626708984
36,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,301.04,99,99,99,99,16871360,2.180000066757202
37,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,299.45,99,99,99,99,51737596,15.25
38,MESO,Healthcare,Biotechnology,NASDAQ,299.34,99,99,98,97,854788736,12.25
39,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,291.16,99,99,99,99,41906316,7.829999923706055
40,MTEK,Technology,Electronic Components,NASDAQ,288.93,99,78,91,89,10084480,4.420000076293945
41,CHSN,Consumer Cyclical,Restaurants,NASDAQ,288.25,99,99,10,68,36054652,6.78000020980835
42,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,287.93,99,99,97,11,n/a,0.699999988079071
43,PULM,Healthcare,Biotechnology,NASDAQ,287.62,99,99,49,43,7012377,6.170000076293945
44,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,281.9,99,96,98,32,164025680,4.039999961853027
45,MSTR,Technology,Software—Application,NASDAQ,280.68,99,99,98,99,26063867904,349.6400146484375
46,KC,Technology,Software—Application,NASDAQ,279.25,99,92,19,12,684088768,8.4399995803833
