Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,AGFY,Industrials,Farm & Heavy Construction Machinery,NASDAQ,588.04,99,99,3,6,3856167,33.88999938964844
2,XCUR,Healthcare,Biotechnology,NASDAQ,558.89,99,99,94,4,2953502,17.18000030517578
3,MNPR,Healthcare,Biotechnology,NASDAQ,547.2,99,99,99,86,14459434,22.049999237060547
4,EXOD,n/a,n/a,NYSE MKT,524.43,99,99,98,94,n/a,43.20000076293945
5,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,504.87,99,8,19,24,15222720,3.450000047683716
6,SOUN,Technology,Software—Application,NASDAQ,463.72,99,96,93,91,1570140800,20.239999771118164
7,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,447.78,99,97,99,72,38072932,1.8799999952316284
8,IONQ,Technology,Computer Hardware,NYSE,447.35,99,99,29,12,1524590592,44.58000183105469
9,DOGZ,Consumer Cyclical,Leisure,NASDAQ,444.93,99,99,99,97,201654288,43.33000183105469
10,NVNI,Technology,Software—Application,NASDAQ,444.93,99,5,7,11,35491776,5.75
11,WKEY,Technology,Semiconductors,NASDAQ,428.49,99,58,59,56,20524460,9.899999618530273
12,SKGRW,Financial Services,Shell Companies,NASDAQ,424.29,99,97,96,97,n/a,0.6000000238418579
13,HTCO,n/a,n/a,NASDAQ,421.93,99,98,31,30,n/a,2.5299999713897705
14,CLEU,Consumer Defensive,Education & Training Services,NASDAQ,411.62,99,3,0,81,9383752,2.694999933242798
15,APP,Technology,Software - Application,NASDAQ,404.34,99,99,98,98,26597492736,341.8299865722656
16,HUIZ,Financial Services,Insurance Brokers,NASDAQ,403.86,99,17,23,86,50026780,3.4010000228881836
17,RKLB,Industrials,Aerospace & Defense,NASDAQ,401.92,99,99,98,66,2419549696,26.600000381469727
18,DAVE,Technology,Software—Application,NASDAQ,394.09,99,99,99,99,470895648,96.69000244140625
19,SEZL,Financial Services,Credit Services,NASDAQ,387.13,99,99,99,99,469543264,255.74000549316406
20,SGMO,Healthcare,Biotechnology,NASDAQ,379.05,99,99,98,7,87403216,2.5
21,SRRK,Healthcare,Biotechnology,NASDAQ,376.65,99,99,21,17,768031936,45.560001373291016
22,AZ,Industrials,Aerospace & Defense,NASDAQ,372.18,99,99,87,5,17750308,7.090000152587891
23,MFH,Financial Services,Capital Markets,NASDAQ,358.17,99,99,44,67,91229848,6.130000114440918
24,MVST,Industrials,Electrical Equipment & Parts,NASDAQ,357.2,99,95,4,5,150907952,1.8300000429153442
25,AENT,Communication Services,Entertainment,NASDAQ,357.02,99,99,96,97,399373184,7.5
26,INOD,Technology,Information Technology Services,NASDAQ,354.75,99,99,96,97,397365056,43.09000015258789
27,MESO,Healthcare,Biotechnology,NASDAQ,351.82,99,98,98,98,854788736,17.020000457763672
28,NXL,Healthcare,Medical Devices,NASDAQ,345.97,99,99,22,97,7734022,2.7300000190734863
29,PDYN,Technology,Software—Infrastructure,NASDAQ,331.82,99,99,94,96,42218636,4.940000057220459
30,GMM,Technology,Information Technology Services,NASDAQ,326.29,99,0,15,21,25562496,3.5299999713897705
31,CNVS,Communication Services,Entertainment,NASDAQ,325.97,99,99,30,10,11539383,3.930000066757202
32,LUNR,Industrials,Aerospace & Defense,NASDAQ,320.81,99,99,98,28,215366480,16.649999618530273
33,CMRX,Healthcare,Biotechnology,NASDAQ,318.81,99,23,36,23,78157272,3.3399999141693115
34,ARQQ,Technology,Software - Infrastructure,NASDAQ,317.27,99,94,7,8,56432848,29.1299991607666
