Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,MDIA,Communication Services,Broadcasting,NASDAQ,594.73,99,99,98,10,132641344,5.0
2,ASTS,Technology,Communication Equipment,NASDAQ,583.39,99,99,37,9,2532088320,20.959999084472656
3,CRBP,Healthcare,Biotechnology,NASDAQ,517.77,99,99,99,99,468184352,52.97999954223633
4,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,491.02,99,99,99,24,16871360,3.109999895095825
5,TLSIW,Healthcare,Medical Devices,NASDAQ,423.17,99,99,99,99,n/a,1.2999999523162842
6,LENZ,Healthcare,Biotechnology,NASDAQ,407.44,99,99,99,82,467792032,23.170000076293945
7,WTO,Technology,Consumer Electronics,NASDAQ,389.91,99,99,62,11,211741552,1.409999966621399
8,SHCRW,Healthcare,Health Information Services,NASDAQ,373.31,99,98,7,5,n/a,0.09000000357627869
9,SCPX,Healthcare,Biotechnology,NYSE MKT,355.98,99,3,1,17,10265812,1.090000033378601
10,RNA,Healthcare,Biotechnology,NASDAQ,351.07,99,99,99,95,4130786048,44.9900016784668
11,SEZL,Financial Services,Credit Services,NASDAQ,338.25,99,99,98,98,469543264,126.47000122070312
12,ALAR,Technology,Software - Infrastructure,NASDAQ,336.86,99,99,99,99,212824336,23.040000915527344
13,SMMT,Healthcare,Biotechnology,NASDAQ,334.32,99,99,96,98,5601800704,11.25
14,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,328.16,99,99,99,24,41906316,4.510000228881836
15,LUMN,Communication Services,Telecom Services,NYSE,311.47,99,24,17,23,1086092800,5.010000228881836
16,PSNL,Healthcare,Diagnostics & Research,NASDAQ,302.23,99,89,30,12,65442888,4.659999847412109
17,SWVL,Technology,Software—Application,NASDAQ,302.12,99,99,99,99,79203824,6.0
18,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,300.82,99,99,99,53,497564096,13.289999961853027
19,LBPH,Healthcare,Biotechnology,NASDAQ,299.57,99,99,98,99,738721920,34.880001068115234
20,EUDA,Healthcare,Health Information Services,NASDAQ,299.06,99,99,97,81,93790424,4.360000133514404
21,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,298.41,99,99,99,79,653293888,46.09000015258789
22,AEYE,Technology,Software - Application,NASDAQ,291.87,99,99,99,67,212526320,22.790000915527344
23,SLNO,Healthcare,Biotechnology,NASDAQ,289.69,99,99,99,99,1734692864,49.52000045776367
24,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,286.58,99,98,98,96,51737596,8.380000114440918
25,RZLT,Healthcare,Biotechnology,NASDAQ,282.48,99,99,97,83,199377680,4.340000152587891
26,CADL,Healthcare,Biotechnology,NASDAQ,280.99,99,99,99,92,199960320,5.840000152587891
27,JANX,Healthcare,Biotechnology,NASDAQ,278.62,99,99,99,73,2094768384,38.11000061035156
28,ZJYL,Healthcare,Medical Instruments & Supplies,NASDAQ,274.84,99,98,99,99,447724416,3.25
29,RCAT,Technology,Computer Hardware,NASDAQ,274.71,99,96,86,12,75767136,2.759999990463257
30,INSM,Healthcare,Biotechnology,NASDAQ,274.5,99,99,45,84,10697345024,76.37999725341797
31,ADMA,Healthcare,Biotechnology,NASDAQ,273.15,99,99,97,87,2461811456,17.270000457763672
32,GTHX,Healthcare,Biotechnology,NASDAQ,268.25,99,89,98,48,133840384,7.079999923706055
33,INSG,Technology,Communication Equipment,NASDAQ,264.47,99,99,93,17,103737712,11.449999809265137
34,DAVE,Technology,Software—Application,NASDAQ,248.0,99,99,99,99,470895648,34.900001525878906
35,DYN,Healthcare,Biotechnology,NASDAQ,247.25,99,99,97,97,3297019648,43.63999938964844
36,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,244.6,99,99,99,99,12955388928,146.49000549316406
37,CDNA,Healthcare,Diagnostics & Research,NASDAQ,243.67,99,98,95,21,734330176,27.610000610351562
38,MBRX,Healthcare,Biotechnology,NASDAQ,242.51,99,99,99,16,9199929,2.3499999046325684
39,SLNHP,Financial Services,Capital Markets,NASDAQ,240.77,99,99,70,96,n/a,5.409999847412109
40,ADD,Communication Services,Entertainment,NASDAQ,239.12,99,8,6,9,4945666,0.7599999904632568
41,RGS,Consumer Cyclical,Personal Services,NASDAQ,238.25,99,98,5,16,10647367,23.5
42,SKGRW,Financial Services,Shell Companies,NASDAQ,235.08,99,96,98,12,n/a,0.3610000014305115
43,NTRBW,Healthcare,Biotechnology,NASDAQ,234.88,99,98,86,3,n/a,1.590000033378601
44,AGBA,Financial Services,Asset Management,NASDAQ,234.3,99,99,99,7,229691088,2.2200000286102295
45,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,231.6,99,96,86,19,624490496,37.849998474121094
46,VKTX,Healthcare,Biotechnology,NASDAQ,229.28,99,98,99,99,6216909824,56.20000076293945
47,SMR,Industrials,Specialty Industrial Machinery,NYSE,225.44,99,99,95,8,768516800,9.979999542236328
48,VSSYW,Technology,Software—Application,NASDAQ,222.8,99,98,99,15,n/a,0.0689999982714653
49,DOGZ,Consumer Cyclical,Leisure,NASDAQ,217.91,99,98,91,11,201654288,13.460000038146973
50,TROO,Technology,Software—Application,NASDAQ,217.35,99,97,2,7,155444944,3.9600000381469727
51,APLT,Healthcare,Biotechnology,NASDAQ,217.13,99,97,96,99,514201504,6.150000095367432
52,TLSA,Healthcare,Biotechnology,NASDAQ,213.1,99,81,62,21,101503848,1.3600000143051147
53,NISN,Financial Services,Credit Services,NASDAQ,212.87,99,97,96,87,13619664,9.359999656677246
54,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,212.85,99,99,36,96,640242240,16.90999984741211
55,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,212.02,99,57,95,18,17891930,3.359999895095825
56,NRIX,Healthcare,Biotechnology,NASDAQ,208.97,99,98,95,84,1126084736,21.530000686645508
57,REAX,Real Estate,Real Estate Services,NASDAQ,208.46,99,98,99,98,728804992,5.829999923706055
58,MRT,Technology,Software—Application,NYSE MKT,206.28,99,91,97,44,100945328,2.049999952316284
59,STOK,Healthcare,Biotechnology,NASDAQ,204.79,99,97,98,28,776065344,14.170000076293945
60,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,204.5,99,99,98,13,317554912,6.78000020980835
61,BNTC,Healthcare,Biotechnology,NASDAQ,202.72,99,99,99,54,67914232,9.220000267028809
62,ZAPP,Consumer Cyclical,Auto Manufacturers,NASDAQ,202.46,98,98,0,3,2378845,6.25
63,AKA,Consumer Cyclical,Internet Retail,NYSE,201.59,98,98,99,94,150772864,21.270000457763672
64,SG,Consumer Cyclical,Restaurants,NYSE,201.57,98,96,99,62,3552299776,34.459999084472656
65,ZETA,Technology,Software—Application,NYSE,198.83,98,97,96,77,3581592576,23.809999465942383
66,ESGL,Industrials,Waste Management,NASDAQ,198.02,98,97,29,9,26217720,1.3600000143051147
67,FENG,Communication Services,Internet Content & Information,NYSE,197.56,98,98,82,26,27865056,3.4000000953674316
68,UPC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,196.18,98,97,88,33,8896167,3.609999895095825
69,AVAH,Healthcare,Medical Care Facilities,NASDAQ,195.95,98,97,91,91,507880608,4.610000133514404
70,CATX,Healthcare,Medical Devices,NYSE MKT,195.93,98,98,99,99,804254976,12.779999732971191
71,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,193.71,98,99,98,76,240172032,17.450000762939453
72,SNDA,Healthcare,Medical Care Facilities,NYSE,192.23,98,98,99,87,333062208,29.190000534057617
73,BZFD,Communication Services,Internet Content & Information,NASDAQ,190.16,98,97,95,4,76878688,2.819999933242798
74,AIRG,Technology,Communication Equipment,NASDAQ,189.94,98,94,86,48,70807520,7.25
75,PW,Real Estate,REIT—Specialty,NYSE MKT,188.94,98,83,19,7,2711728,1.409999966621399
76,XTLB,Healthcare,Biotechnology,NASDAQ,186.95,98,97,99,32,11878951,2.5999999046325684
77,MYO,Healthcare,Medical Devices,NYSE MKT,186.06,98,99,99,99,93071160,3.8299999237060547
78,TKLF,Consumer Cyclical,Specialty Retail,NASDAQ,185.13,98,89,5,1,9512211,0.6620000004768372
79,SUPV,Financial Services,Banks—Regional,NYSE,181.62,98,96,99,95,825703168,7.130000114440918
80,ARQT,Healthcare,Biotechnology,NASDAQ,181.49,98,95,94,98,943476544,9.949999809265137
81,MESO,Healthcare,Biotechnology,NASDAQ,181.4,98,98,98,7,854788736,6.309999942779541
82,FTAI,Industrials,Rental & Leasing Services,NASDAQ,180.97,98,98,97,95,9574752256,103.75
83,MSTR,Technology,Software—Application,NASDAQ,180.47,98,99,99,97,26063867904,135.3800048828125
84,PRAX,Healthcare,Biotechnology,NASDAQ,180.06,98,96,97,97,644796736,52.2400016784668
85,COMM,Technology,Communication Equipment,NASDAQ,180.02,98,24,4,9,256855168,3.240000009536743
86,SPRY,Healthcare,Biotechnology,NASDAQ,179.76,98,96,88,75,878840320,13.0600004196167
87,DOYU,Communication Services,Internet Content & Information,NASDAQ,179.21,98,96,69,11,324264896,18.5
88,VIRC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,178.95,98,98,97,96,256325664,16.059999465942383
89,OCGN,Healthcare,Biotechnology,NASDAQ,178.1,98,99,99,97,355148512,1.3200000524520874
90,OXBR,Financial Services,Insurance—Reinsurance,NASDAQ,175.94,98,97,92,13,14355918,2.6500000953674316
91,BRFH,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,175.77,98,99,85,31,37830144,3.299999952316284
92,ADCT,Healthcare,Biotechnology,NYSE,175.49,98,98,98,99,261734464,2.8399999141693115
93,BLND,Technology,Software - Application,NYSE,174.86,98,96,97,97,590564480,3.759999990463257
94,PNTG,Healthcare,Medical Care Facilities,NASDAQ,174.34,98,96,94,85,680537344,30.709999084472656
95,KEQU,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,173.37,98,98,97,93,104394888,48.209999084472656
96,BMA,Financial Services,Banks - Regional,NYSE,172.83,98,97,99,95,5020511232,56.83000183105469
97,CMPO,Industrials,Metal Fabrication,NASDAQ,172.57,98,81,67,15,518202016,10.984999656677246
98,TMDX,Healthcare,Medical Devices,NASDAQ,172.54,98,97,96,83,4765039104,161.99000549316406
99,NTRB,Healthcare,Biotechnology,NASDAQ,172.42,98,98,95,20,57277360,5.860000133514404
100,IPW,Consumer Cyclical,Internet Retail,NASDAQ,172.23,98,99,98,77,59636400,1.399999976158142
101,SERA,Healthcare,Diagnostics & Research,NASDAQ,172.09,98,96,98,99,237393120,7.050000190734863
102,FIP,Industrials,Conglomerates,NASDAQ,171.66,98,98,98,83,851178752,9.039999961853027
103,OCUL,Healthcare,Biotechnology,NASDAQ,170.95,98,96,87,98,850340544,8.0
104,CASI,Healthcare,Biotechnology,NASDAQ,169.91,98,98,27,97,35781740,6.5
105,RYAM,Basic Materials,Chemicals,NYSE,169.64,98,91,73,72,382308672,7.340000152587891
106,VIVK,Energy,Oil & Gas Integrated,NASDAQ,169.63,98,99,86,25,46276200,1.9800000190734863
107,PRM,Basic Materials,Specialty Chemicals,NYSE,169.5,98,95,89,55,1159015168,10.430000305175781
108,CDE,Basic Materials,Gold,NYSE,169.48,98,97,97,29,2232204288,5.78000020980835
109,CALT,Healthcare,Biotechnology,NASDAQ,169.44,98,97,69,73,1048215232,39.2400016784668
110,ASPN,Industrials,Building Products & Equipment,NYSE,169.44,98,98,99,97,2276458240,23.469999313354492
111,ANF,Consumer Cyclical,Apparel Retail,NYSE,169.38,98,98,98,99,9468789760,153.57000732421875
112,SILK,Healthcare,Medical Devices,NASDAQ,169.19,98,97,88,74,830688512,27.010000228881836
113,USAP,Basic Materials,Steel,NASDAQ,169.03,98,95,98,94,306204480,38.060001373291016
114,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,168.87,98,98,97,67,744387584,11.949999809265137
115,EVER,Communication Services,Internet Content & Information,NASDAQ,168.53,98,98,98,97,663600512,21.6200008392334
116,CRS,Industrials,Metal Fabrication,NYSE,168.18,98,96,96,71,4986626048,140.7899932861328
117,NAMSW,Healthcare,Biotechnology,NASDAQ,168.13,98,99,99,99,n/a,6.550000190734863
118,TELZ,n/a,n/a,NYSE MKT,168.09,98,57,34,80,n/a,22.579999923706055
119,CLOV,Healthcare,Healthcare Plans,NASDAQ,168.0,98,97,23,22,546080704,2.0
120,HYLN,Consumer Cyclical,Auto Parts,NYSE,167.94,98,97,89,89,268015440,2.0
121,AIHS,Financial Services,Credit Services,NASDAQ,167.89,98,94,97,96,8752843,0.8999999761581421
122,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,167.65,97,83,93,79,10521380864,89.94000244140625
123,WULF,Financial Services,Capital Markets,NASDAQ,167.15,97,99,66,97,1031991936,3.309999942779541
124,CRVS,Healthcare,Biotechnology,NASDAQ,166.17,97,85,41,94,116970928,3.755000114440918
125,MORF,Healthcare,Biotechnology,NASDAQ,165.91,97,96,22,44,1310448512,56.970001220703125
126,KOSS,Technology,Consumer Electronics,NASDAQ,165.38,97,99,92,14,35908624,7.130000114440918
127,HNST,Consumer Defensive,Household & Personal Products,NASDAQ,165.35,97,95,92,97,248566992,4.0
128,HEPS,Consumer Cyclical,Internet Retail,NASDAQ,165.32,97,98,75,83,613841536,2.8499999046325684
129,GGAL,Financial Services,Banks - Regional,NASDAQ,165.31,97,94,98,94,6550478336,34.40999984741211
130,ESOA,Industrials,Engineering & Construction,NASDAQ,165.16,97,90,93,98,127548672,9.1899995803833
131,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,164.45,97,99,94,97,931521536,20.65999984741211
132,ARQ,Industrials,Pollution & Treatment Controls,NASDAQ,164.39,97,98,99,93,211915792,5.900000095367432
133,NVDA,Technology,Semiconductors,NASDAQ,162.98,97,97,97,97,3335037648896,116.13999938964844
134,PDYN,Technology,Software—Infrastructure,NASDAQ,162.81,97,98,96,4,42218636,1.5
135,MIGI,Financial Services,Capital Markets,NASDAQ,162.71,97,88,30,98,30307006,1.8300000429153442
136,TPC,Industrials,Engineering & Construction,NYSE,162.7,97,99,98,69,1027907392,19.559999465942383
137,CAVA,Consumer Cyclical,Restaurants,NYSE,162.68,97,96,93,78,10877130752,94.44999694824219
138,MIRA,Healthcare,Drug Manufacturers—General,NASDAQ,162.5,97,18,6,5,10494439,2.049999952316284
139,WLFC,Industrials,Rental & Leasing Services,NASDAQ,162.46,97,94,88,46,410781888,92.48999786376953
140,SFM,Consumer Defensive,Grocery Stores,NASDAQ,162.41,97,95,96,90,7812086784,95.62000274658203
141,HWKN,Basic Materials,Specialty Chemicals,NASDAQ,162.04,97,95,90,87,1873532928,119.51000213623047
142,NGD,Basic Materials,Gold,NYSE MKT,161.86,97,95,94,48,1556273408,2.4200000762939453
143,SRTS,Healthcare,Medical Devices,NASDAQ,161.83,97,97,97,95,89832000,6.429999828338623
144,AXGN,Healthcare,Medical Devices,NASDAQ,161.7,97,88,16,93,312487904,11.260000228881836
145,CNTX,Healthcare,Biotechnology,NASDAQ,161.52,97,94,97,90,151496576,2.390000104904175
146,SGMO,Healthcare,Biotechnology,NASDAQ,161.51,97,13,14,96,87403216,0.9800000190734863
147,BGM,n/a,n/a,NASDAQ,161.28,97,91,70,31,n/a,5.650000095367432
148,CURV,Consumer Cyclical,Apparel Retail,NYSE,161.27,97,99,93,90,701232000,7.590000152587891
149,VISL,Technology,Communication Equipment,NASDAQ,161.22,97,90,87,14,11630280,6.769999980926514
150,CDRO,Consumer Cyclical,Gambling,NASDAQ,160.74,97,97,98,97,337469344,7.849999904632568
151,IESC,Industrials,Engineering & Construction,NASDAQ,160.09,97,97,98,96,2759391488,169.3000030517578
152,THC,Healthcare,Medical Care Facilities,NYSE,159.93,97,94,95,89,13456809984,152.7899932861328
153,BBAR,Financial Services,Banks - Regional,NYSE,159.85,97,95,98,79,2783302912,9.600000381469727
154,HBB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,159.65,97,82,87,93,248969600,26.43000030517578
155,CRDL,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,159.22,97,97,98,97,143516464,2.0999999046325684
156,LICN,Industrials,Specialty Business Services,NASDAQ,159.0,97,93,82,22,47942500,2.049999952316284
157,JVA,Consumer Defensive,Packaged Foods,NASDAQ,158.94,97,96,78,65,8163297,2.1500000953674316
158,INGN,Healthcare,Medical Devices,NASDAQ,158.7,97,92,60,77,180246928,12.489999771118164
159,QTTB,Healthcare,Biotechnology,NASDAQ,158.39,97,91,96,56,217226800,35.65999984741211
160,PRLD,Healthcare,Biotechnology,NASDAQ,158.25,97,94,37,30,212577552,6.199999809265137
161,SOUN,Technology,Software—Application,NASDAQ,158.23,97,98,96,91,1570140800,4.989999771118164
162,TLN,n/a,n/a,NASDAQ,158.2,97,97,94,72,n/a,126.88999938964844
163,PTGX,Healthcare,Biotechnology,NASDAQ,158.08,97,95,89,91,1911472000,40.310001373291016
164,MMYT,Consumer Cyclical,Travel Services,NASDAQ,158.05,97,96,97,95,8979321856,95.02999877929688
165,COE,Consumer Defensive,Education & Training Services,NYSE MKT,157.94,97,96,43,47,52868228,12.720000267028809
166,HMY,Basic Materials,Gold,NYSE,157.35,97,96,97,86,5547788288,10.0
167,GERN,Healthcare,Biotechnology,NASDAQ,157.26,97,96,95,18,2663166976,4.570000171661377
168,SLQT,Financial Services,Insurance Brokers,NYSE,156.96,97,98,97,63,478719968,3.130000114440918
169,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,156.62,97,5,15,82,71849184,3.9700000286102295
170,VITL,Consumer Defensive,Farm Products,NASDAQ,156.55,97,99,99,86,1736422912,30.549999237060547
171,CXDO,Communication Services,Telecom Services,NASDAQ,156.35,97,92,92,99,87606120,5.019999980926514
172,LEXX,Healthcare,Biotechnology,NASDAQ,156.35,97,98,98,97,42539904,3.2300000190734863
173,VRNA,Healthcare,Biotechnology,NASDAQ,156.2,97,84,17,30,1025684736,26.729999542236328
