Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,543.11,99,99,99,61,671555136,33.529998779296875
2,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,530.76,99,98,14,4,317554912,13.970000267028809
3,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,507.56,99,99,99,18,16871360,2.9700000286102295
4,ALAR,Technology,Software - Infrastructure,NASDAQ,451.63,99,99,99,99,212824336,28.200000762939453
5,NTRBW,Healthcare,Biotechnology,NASDAQ,443.95,99,98,78,3,n/a,2.25
6,MDIA,Communication Services,Broadcasting,NASDAQ,433.06,99,99,98,10,132641344,4.190000057220459
7,CRBP,Healthcare,Biotechnology,NASDAQ,422.77,99,99,99,99,468184352,58.060001373291016
8,ROOT,Financial Services,Insurance—Property & Casualty,NASDAQ,418.61,99,99,99,45,653293888,67.8499984741211
9,LENZ,Healthcare,Biotechnology,NASDAQ,410.92,99,99,99,50,467792032,23.969999313354492
10,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,399.07,99,99,98,93,497564096,15.369999885559082
11,RNA,Healthcare,Biotechnology,NASDAQ,391.91,99,99,99,92,4130786048,48.13999938964844
12,MBRX,Healthcare,Biotechnology,NASDAQ,373.43,99,99,99,17,9199929,3.5199999809265137
13,CADL,Healthcare,Biotechnology,NASDAQ,368.08,99,99,99,66,199960320,6.699999809265137
14,SMMT,Healthcare,Biotechnology,NASDAQ,362.92,99,99,95,96,5601800704,11.550000190734863
15,AEYE,Technology,Software - Application,NASDAQ,350.86,99,99,99,41,212526320,27.149999618530273
16,JMIA,Consumer Cyclical,Internet Retail,NYSE,329.2,99,98,92,39,802544768,13.100000381469727
17,RGS,Consumer Cyclical,Personal Services,NASDAQ,323.61,99,99,2,16,10647367,33.75
18,WTO,Technology,Consumer Electronics,NASDAQ,319.86,99,98,25,4,211741552,1.0700000524520874
19,EUDA,Healthcare,Health Information Services,NASDAQ,316.37,99,99,97,75,93790424,3.5799999237060547
20,LBPH,Healthcare,Biotechnology,NASDAQ,304.36,99,99,98,99,738721920,37.400001525878906
21,NVAX,Healthcare,Biotechnology,NASDAQ,300.97,99,99,17,5,2030502912,17.110000610351562
22,DAVE,Technology,Software—Application,NASDAQ,300.58,99,99,99,99,470895648,35.95000076293945
23,SLNHP,Financial Services,Capital Markets,NASDAQ,299.34,99,99,31,97,n/a,6.96999979019165
24,JANX,Healthcare,Biotechnology,NASDAQ,295.89,99,99,99,20,2094768384,43.9900016784668
25,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,295.71,99,99,98,29,41906316,4.110000133514404
