Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,PSIX,n/a,n/a,NASDAQ,590.69,99,99,99,99,n/a,30.299999237060547
2,XCUR,Healthcare,Biotechnology,NASDAQ,571.11,99,99,81,4,2953502,16.149999618530273
3,EOSEW,Industrials,Electrical Equipment & Parts,NASDAQ,564.23,99,66,43,67,n/a,1.1699999570846558
4,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,559.97,99,8,21,24,15222720,3.6559998989105225
5,SOUN,Technology,Software—Application,NASDAQ,551.43,99,97,94,97,1570140800,22.68000030517578
6,ARQQ,Technology,Software - Infrastructure,NASDAQ,545.28,99,96,4,9,56432848,43.31999969482422
7,WAVE,Utilities,Utilities—Renewable,NASDAQ,539.02,99,99,99,33,19145292,12.100000381469727
8,AGFY,Industrials,Farm & Heavy Construction Machinery,NASDAQ,508.86,99,99,4,5,3856167,28.81999969482422
9,GRRR,Technology,Software - Infrastructure,NASDAQ,477.75,99,76,24,2,34889796,22.40999984741211
10,AENT,Communication Services,Entertainment,NASDAQ,476.26,99,99,94,96,399373184,9.970000267028809
11,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,463.29,99,96,99,60,38072932,1.7999999523162842
12,IONQ,Technology,Computer Hardware,NYSE,456.59,99,99,32,21,1524590592,44.290000915527344
13,WKEY,Technology,Semiconductors,NASDAQ,450.58,99,37,72,36,20524460,10.850000381469727
14,AMPG,Technology,Communication Equipment,NASDAQ,421.09,99,20,5,5,10397308,5.15500020980835
15,EXOD,n/a,n/a,NYSE MKT,415.85,99,99,98,97,n/a,38.369998931884766
16,RKLB,Industrials,Aerospace & Defense,NASDAQ,413.75,99,99,97,72,2419549696,26.31999969482422
17,APP,Technology,Software - Application,NASDAQ,402.86,99,99,99,97,26597492736,335.3800048828125
18,SEZL,Financial Services,Credit Services,NASDAQ,401.74,99,99,99,99,469543264,255.0
19,SRRK,Healthcare,Biotechnology,NASDAQ,399.02,99,99,16,20,768031936,42.90999984741211
20,JYD,Industrials,Integrated Freight & Logistics,NASDAQ,394.02,99,72,34,4,23843742,3.430000066757202
21,DAVE,Technology,Software—Application,NASDAQ,392.04,99,99,99,99,470895648,94.45999908447266
22,GMM,Technology,Information Technology Services,NASDAQ,390.2,99,99,13,9,25562496,3.9100000858306885
23,SKGRW,Financial Services,Shell Companies,NASDAQ,386.17,99,97,89,96,n/a,0.5899999737739563
24,SGMO,Healthcare,Biotechnology,NASDAQ,385.19,99,99,97,12,87403216,2.3399999141693115
25,DOGZ,Consumer Cyclical,Leisure,NASDAQ,383.39,99,99,99,98,201654288,44.83000183105469
26,MESO,Healthcare,Biotechnology,NASDAQ,380.13,99,98,99,98,854788736,21.040000915527344
27,INTZ,Technology,Software—Infrastructure,NASDAQ,380.07,99,2,4,1,5983124,5.679999828338623
28,AZ,Industrials,Aerospace & Defense,NASDAQ,380.06,99,99,73,17,17750308,6.489999771118164
29,MFH,Financial Services,Capital Markets,NASDAQ,371.51,99,99,71,71,91229848,7.130000114440918
30,HUIZ,Financial Services,Insurance Brokers,NASDAQ,366.12,99,13,37,87,50026780,3.1549999713897705
31,LUNR,Industrials,Aerospace & Defense,NASDAQ,365.72,99,99,98,37,215366480,18.940000534057617
32,OPTT,Industrials,Specialty Industrial Machinery,NYSE MKT,365.72,99,97,4,83,7551877,0.8799999952316284
33,REAL,Consumer Cyclical,Luxury Goods,NASDAQ,356.32,99,96,71,91,340160480,11.180000305175781
34,CISO,Technology,Software - Infrastructure,NASDAQ,354.16,99,95,18,2,8702340,3.1500000953674316
35,INOD,Technology,Information Technology Services,NASDAQ,353.17,99,99,95,98,397365056,42.09000015258789
36,MTEK,Technology,Electronic Components,NASDAQ,349.43,99,89,92,75,10084480,5.829999923706055
37,NXU,Industrials,Electrical Equipment & Parts,NASDAQ,349.42,99,6,4,2,4653090,1.5
38,ZVIA,Consumer Defensive,Beverages—Non-Alcoholic,NYSE,338.94,99,94,58,4,56754132,3.8499999046325684
39,CMRX,Healthcare,Biotechnology,NASDAQ,337.14,99,26,36,23,78157272,3.440000057220459
40,NXL,Healthcare,Medical Devices,NASDAQ,336.45,99,99,24,97,7734022,2.819999933242798
41,ICLK,Communication Services,Advertising Agencies,NASDAQ,335.27,99,98,93,6,12575997,9.739999771118164
42,KC,Technology,Software—Application,NASDAQ,332.95,99,98,79,18,684088768,11.460000038146973
43,RDW,Industrials,Aerospace & Defense,NYSE,330.99,99,99,95,98,400030048,17.649999618530273
44,FOA,Financial Services,Credit Services,NYSE,329.99,99,98,92,7,60184624,28.799999237060547
45,ASTS,Technology,Communication Equipment,NASDAQ,329.8,99,99,99,99,2532088320,21.809999465942383
46,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,328.02,99,93,98,25,7003263,0.7960000038146973
47,CNVS,Communication Services,Entertainment,NASDAQ,326.17,99,99,29,10,11539383,3.809999942779541
48,PRZO,Industrials,Aerospace & Defense,NASDAQ,320.1,99,96,38,19,6473153,2.440000057220459
49,QURE,Healthcare,Biotechnology,NASDAQ,319.68,99,47,31,95,221870768,17.219999313354492
50,KOD,Healthcare,Biotechnology,NASDAQ,318.82,99,97,44,16,137116080,9.970000267028809
51,ATOM,Technology,Semiconductor Equipment & Materials,NASDAQ,318.15,99,92,5,9,103516488,12.90999984741211
52,PULM,Healthcare,Biotechnology,NASDAQ,317.56,99,99,40,44,7012377,6.860000133514404
53,ALTS,n/a,n/a,NASDAQ,315.93,99,95,98,99,n/a,4.659999847412109
