Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,CHSN,Consumer Cyclical,Restaurants,NASDAQ,575.01,99,10,44,86,36054652,12.239999771118164
2,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,532.66,99,99,11,12,7003263,1.1799999475479126
3,SEZL,Financial Services,Credit Services,NASDAQ,520.29,99,99,99,98,469543264,156.24000549316406
4,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,516.71,99,99,99,99,497564096,15.789999961853027
5,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,482.44,99,99,59,94,17891930,8.75
6,SMMT,Healthcare,Biotechnology,NASDAQ,451.73,99,99,99,94,5601800704,18.899999618530273
7,ASTS,Technology,Communication Equipment,NASDAQ,434.61,99,99,99,9,2532088320,22.610000610351562
8,INSG,Technology,Communication Equipment,NASDAQ,433.75,99,99,99,20,103737712,19.200000762939453
9,LUMN,Communication Services,Telecom Services,NYSE,416.1,99,99,24,25,1086092800,6.480000019073486
10,LENZ,Healthcare,Biotechnology,NASDAQ,380.53,99,99,99,99,467792032,24.450000762939453
11,DOGZ,Consumer Cyclical,Leisure,NASDAQ,379.93,99,99,98,75,201654288,36.650001525878906
12,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,379.09,99,95,93,4,n/a,1.2100000381469727
13,NEON,Technology,Electronic Components,NASDAQ,372.65,99,99,84,14,30719000,8.239999771118164
14,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,368.76,99,99,99,99,16871360,2.869999885559082
15,TLSIW,Healthcare,Medical Devices,NASDAQ,353.5,99,99,99,99,n/a,1.5
16,CAPR,Healthcare,Biotechnology,NASDAQ,348.01,99,24,57,89,154779824,17.309999465942383
17,RAIL,Industrials,Railroads,NASDAQ,342.46,99,99,42,88,67358160,11.869999885559082
18,TIL,Healthcare,Biotechnology,NASDAQ,339.08,99,99,88,59,68095936,38.65999984741211
19,AGBA,Financial Services,Asset Management,NASDAQ,327.1,99,99,99,97,229691088,1.2599999904632568
20,COMM,Technology,Communication Equipment,NASDAQ,318.0,99,99,24,2,256855168,6.25
21,CLOV,Healthcare,Healthcare Plans,NASDAQ,316.96,99,99,97,11,546080704,3.9100000858306885
22,SCPX,Healthcare,Biotechnology,NYSE MKT,313.45,99,99,1,15,10265812,0.75
23,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,301.85,99,98,99,98,41906316,5.78000020980835
24,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,291.79,99,99,96,20,624490496,50.9900016784668
25,ADMA,Healthcare,Biotechnology,NASDAQ,289.19,99,99,99,94,2461811456,20.325000762939453
26,CRVS,Healthcare,Biotechnology,NASDAQ,288.32,99,99,85,25,116970928,5.989999771118164
27,PSNL,Healthcare,Diagnostics & Research,NASDAQ,286.87,99,99,89,17,65442888,5.050000190734863
28,ESGL,Industrials,Waste Management,NASDAQ,278.56,99,97,97,21,26217720,2.11899995803833
29,DUO,Real Estate,Real Estate Services,NASDAQ,274.05,99,10,22,3,4200118,1.7599999904632568
30,DAVE,Technology,Software—Application,NASDAQ,272.7,99,99,99,99,470895648,43.18000030517578
31,TISI,Industrials,Specialty Business Services,NYSE,272.49,99,99,85,47,34924232,25.290000915527344
32,RCAT,Technology,Computer Hardware,NASDAQ,268.71,99,99,96,82,75767136,3.369999885559082
33,WLFC,Industrials,Rental & Leasing Services,NASDAQ,256.92,99,98,94,74,410781888,160.5
34,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,253.69,99,99,98,98,51737596,8.680000305175781
35,NISN,Financial Services,Credit Services,NASDAQ,253.42,99,99,97,92,13619664,14.229999542236328
36,RNA,Healthcare,Biotechnology,NASDAQ,252.29,99,99,99,98,4130786048,45.7599983215332
37,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,244.69,99,98,99,99,12955388928,190.07000732421875
38,ZETA,Technology,Software—Application,NYSE,241.05,99,99,97,84,3581592576,33.130001068115234
39,NTRBW,Healthcare,Biotechnology,NASDAQ,240.21,99,99,99,26,n/a,1.399999976158142
40,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,240.07,99,98,4,16,71849184,5.059999942779541
41,CADL,Healthcare,Biotechnology,NASDAQ,238.32,99,99,99,99,199960320,5.994999885559082
42,SRRK,Healthcare,Biotechnology,NASDAQ,236.8,99,26,21,94,768031936,27.770000457763672
43,WLGS,Industrials,Engineering & Construction,NASDAQ,232.43,99,96,22,20,8300080,1.590000033378601
44,CDNA,Healthcare,Diagnostics & Research,NASDAQ,229.73,99,99,98,42,734330176,28.165000915527344
45,GEVO,Basic Materials,Specialty Chemicals,NASDAQ,223.16,99,35,14,7,135503248,1.9700000286102295
